站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230404133617,17.2,1010.7,58,293,0.6,0.5,10286.2
58102,20230404133617,7.6,1016.9,42,305,1.7,0.6,10386.2
58118,20230404133617,17.8,1020.6,27,211,5.1,0.5,10194.3
58122,20230404133617,13.5,1015.8,70,107,9.9,1.3,10277.5
58203,20230404133617,11.4,1016.4,93,60,0.2,0.9,10175.1
58215,20230404133617,5.4,1016.5,7,200,14.2,1.1,10048.7
58221,20230404133617,4.0,1016.1,24,200,0.7,1.4,10155.4
58225,20230404133617,14.0,1016.8,6,293,1.1,0.6,10230.6
58236,20230404133617,27.1,1011.4,51,5,14.8,0.2,10009.5
58311,20230404133617,24.7,1003.1,32,74,11.3,1.3,10314.2
58314,20230404133617,16.8,1016.9,60,316,2.5,0.7,10431.8
58319,20230404133617,6.3,1022.7,32,194,3.2,0.1,10325.0
58321,20230404133617,34.7,1019.0,41,87,5.9,1.4,10134.1
58326,20230404133617,26.9,1005.7,91,244,7.5,0.9,10451.3
58336,20230404133617,15.9,1010.5,54,84,0.1,1.3,10096.0
58338,20230404133617,11.6,1017.0,62,222,3.9,0.5,10455.4
58414,20230404133617,24.5,1010.7,17,167,14.7,0.0,10255.6
58419,20230404133617,4.5,1006.1,52,287,8.3,0.9,10090.0
58424,20230404133617,5.7,1023.4,63,160,7.6,0.4,10402.1
58429,20230404133617,0.6,1011.1,58,66,13.1,0.3,10494.2
58436,20230404133617,24.0,1019.4,78,143,9.8,0.9,10131.0
58437,20230404133617,34.1,1016.1,38,204,10.7,0.0,10379.4
58520,20230404133617,4.7,1014.8,56,3,4.7,0.1,10189.4
58531,20230404133617,31.1,1015.5,1,164,11.6,0.5,10246.9
54406,20230404133617,25.7,1018.0,84,281,4.6,0.1,10084.0
54416,20230404133617,2.1,1015.8,81,82,11.6,0.5,10330.7
54511,20230404133617,10.6,1010.5,71,278,14.3,0.9,10383.9
58725,20230404133617,17.4,1016.4,78,359,8.0,0.5,10161.6
58730,20230404133617,12.5,1013.3,38,338,12.1,0.9,10334.4
58731,20230404133617,23.4,1012.9,89,274,4.4,1.2,10050.7
58734,20230404133617,12.2,1007.5,55,46,5.2,1.2,10201.6
