站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230404133217,5.3,1012.0,20,5,4.9,1.1,10377.9
58102,20230404133217,9.5,1024.0,20,339,0.7,0.5,10233.3
58118,20230404133217,1.3,1012.6,53,201,2.7,0.1,10082.8
58122,20230404133217,0.6,1013.5,69,331,3.4,1.4,10271.5
58203,20230404133217,21.7,1014.1,19,45,9.6,0.5,10378.3
58215,20230404133217,23.9,1003.8,54,254,10.8,0.4,10238.4
58221,20230404133217,6.8,1013.7,51,242,13.3,1.0,10182.0
58225,20230404133217,27.8,1001.5,44,76,10.7,0.7,10346.2
58236,20230404133217,16.5,1010.3,78,49,9.4,1.1,10062.0
58311,20230404133217,9.8,1025.4,49,50,13.4,1.4,10340.9
58314,20230404133217,31.2,1001.5,70,72,4.8,1.5,10204.8
58319,20230404133217,12.2,1005.6,90,228,6.3,0.4,10270.7
58321,20230404133217,6.0,1009.7,56,342,6.0,0.0,10357.6
58326,20230404133217,15.2,1021.1,3,269,11.7,1.5,10424.3
58336,20230404133217,20.0,1023.9,96,276,3.9,0.0,10260.3
58338,20230404133217,34.6,1020.7,88,215,6.3,0.5,10401.9
58414,20230404133217,18.5,1015.1,40,290,1.1,0.2,10019.2
58419,20230404133217,29.4,1011.3,81,150,1.1,1.5,10262.1
58424,20230404133217,25.1,1007.8,71,19,14.7,0.9,10404.9
58429,20230404133217,11.2,1020.1,38,198,1.8,0.4,10152.4
58436,20230404133217,28.4,1016.8,29,305,6.7,0.3,10425.2
58437,20230404133217,30.4,1001.3,32,13,14.3,1.2,10328.7
58520,20230404133217,18.4,1008.7,67,12,8.7,0.0,10217.1
58531,20230404133217,33.9,1004.1,92,134,13.4,0.4,10201.8
54406,20230404133217,14.5,1016.0,10,301,6.0,0.1,10100.8
54416,20230404133217,22.3,1011.6,74,77,1.9,0.4,10438.5
54511,20230404133217,31.8,1015.3,99,68,1.7,0.5,10079.8
58725,20230404133217,17.6,1025.8,17,128,5.5,0.7,10488.3
58730,20230404133217,28.9,1006.8,68,236,14.5,0.5,10307.6
58731,20230404133217,31.6,1019.6,96,205,7.3,0.8,10052.0
58734,20230404133217,18.5,1006.0,58,277,9.3,1.2,10263.7
58737,20230404133217,24.6,1016.0,79,125,2.8,1.0,10440.1
58744,20230404133217,0.9,1003.8,22,47,9.3,0.8,10475.7
58754,20230404133217,1.3,1017.4,66,346,8.6,0.4,10122.6
58818,20230404133217,3.7,1009.6,26,355,10.6,0.7,10252.2
58820,20230404133217,27.2,1013.0,91,264,2.0,1.2,10221.2
58834,20230404133217,25.6,1017.6,89,48,12.1,0.1,10012.9
58837,20230404133217,24.8,1017.3,43,295,2.3,0.7,10318.5
58843,20230404133217,10.1,1011.2,85,282,5.5,1.0,10350.0
58846,20230404133217,25.2,1024.7,43,74,4.2,0.8,10135.6
58847,20230404133217,20.1,1005.9,62,34,12.0,1.3,10431.9
58911,20230404133217,30.8,1000.9,22,230,1.9,0.4,10116.8
58918,20230404133217,12.3,1020.5,68,105,4.9,0.8,10146.8
58921,20230404133217,16.1,1023.9,10,339,6.1,0.7,10114.0
58926,20230404133217,26.3,1017.7,66,239,14.1,0.2,10366.4
58927,20230404133217,34.3,1010.6,41,118,4.7,1.3,10418.0
58931,20230404133217,17.1,1020.7,36,131,10.5,0.2,10343.1
58933,20230404133217,29.5,1022.3,49,221,2.4,0.1,10465.5
58936,20230404133217,25.7,1001.7,67,142,10.1,1.5,10424.0
58944,20230404133217,5.1,1004.6,52,7,4.2,1.1,10455.0
59113,20230404133217,20.0,1004.4,87,66,13.4,1.3,10323.9
59126,20230404133217,21.3,1007.8,86,227,3.6,0.1,10222.1
59133,20230404133217,12.8,1002.9,42,70,5.6,1.5,10032.2
59134,20230404133217,23.5,1019.1,59,331,5.2,0.9,10351.9
59321,20230404133217,24.3,1019.9,29,198,11.1,0.2,10169.0
52323,20230404133217,27.8,1010.8,14,318,6.6,0.7,10054.5
52418,20230404133217,7.0,1004.1,95,169,3.1,0.3,10272.1
52424,20230404133217,25.0,1018.6,18,79,8.7,0.7,10285.3
52436,20230404133217,16.5,1026.4,66,91,14.3,1.3,10009.7
52446,20230404133217,4.4,1007.4,27,41,14.9,0.7,10408.8
52447,20230404133217,11.7,1019.2,26,114,3.1,1.1,10344.8
52533,20230404133217,25.2,1005.5,64,223,10.6,0.8,10240.0
52546,20230404133217,27.5,1022.8,58,348,9.7,0.6,10401.8
52652,20230404133217,31.6,1013.2,9,217,12.8,1.0,10223.0
52661,20230404133217,18.5,1020.3,91,185,7.0,1.1,10397.7
52674,20230404133217,1.8,1001.0,64,297,0.0,1.0,10368.1
52679,20230404133217,4.0,1023.6,28,270,2.1,0.0,10232.0
52681,20230404133217,13.1,1017.3,70,42,7.5,1.0,10025.4
52787,20230404133217,0.3,1009.6,63,294,4.4,0.0,10412.1
52797,20230404133217,19.1,1024.6,52,110,6.1,0.2,10158.1
52884,20230404133217,20.2,1017.4,14,17,10.7,0.8,10443.5
52895,20230404133217,34.7,1025.7,11,118,3.7,1.2,10137.7
52983,20230404133217,9.8,1024.2,25,189,7.8,1.0,10130.2
52984,20230404133217,3.3,1025.5,35,80,11.3,1.3,10465.8
52986,20230404133217,24.3,1008.3,3,227,10.0,0.7,10065.3
52996,20230404133217,29.7,1007.3,78,238,3.5,1.5,10041.9
53821,20230404133217,18.9,1015.1,2,177,3.5,1.0,10145.0
53915,20230404133217,32.1,1016.4,14,109,5.7,1.2,10000.7
53923,20230404133217,20.3,1013.7,44,67,4.3,1.0,10369.0
56074,20230404133217,9.6,1003.6,40,184,6.9,0.0,10397.7
56080,20230404133217,15.9,1002.8,32,131,13.1,0.8,10008.6
56093,20230404133217,10.4,1020.3,80,153,7.5,0.4,10386.2
56096,20230404133217,31.5,1005.2,4,354,13.2,0.6,10288.7
57014,20230404133217,7.0,1009.9,37,40,0.8,0.7,10259.4
57996,20230404133217,33.6,1017.1,20,46,5.6,1.0,10169.9
59072,20230404133217,9.1,1012.7,38,24,14.3,0.0,10251.1
59082,20230404133217,20.4,1018.6,12,42,0.5,1.0,10164.8
59087,20230404133217,11.9,1026.0,11,34,1.1,1.4,10385.4
59088,20230404133217,1.0,1008.5,12,239,7.3,1.0,10192.1
59096,20230404133217,30.3,1017.2,7,17,11.6,1.1,10085.8
59097,20230404133217,5.6,1012.9,64,71,12.7,0.2,10420.0
59107,20230404133217,11.7,1023.6,95,262,0.8,0.8,10189.5
59116,20230404133217,24.1,1003.2,24,99,12.7,0.6,10456.9
59117,20230404133217,7.9,1014.3,80,22,0.0,0.5,10292.2
59271,20230404133217,15.5,1007.4,74,30,5.0,0.4,10234.5
59278,20230404133217,27.1,1012.2,48,92,5.5,1.3,10136.6
59280,20230404133217,34.8,1011.7,23,113,10.1,0.5,10384.9
59287,20230404133217,6.4,1003.8,67,143,0.1,1.3,10488.5
59289,20230404133217,29.9,1004.9,18,282,7.0,0.6,10483.9
59293,20230404133217,3.4,1018.0,14,260,14.3,0.4,10148.7
59294,20230404133217,9.9,1022.5,51,14,0.2,1.3,10106.9
59298,20230404133217,34.0,1006.9,24,144,5.8,0.9,10254.9
59303,20230404133217,33.0,1001.8,86,225,2.4,1.1,10223.2
59304,20230404133217,0.1,1018.5,92,177,2.6,0.0,10262.0
59306,20230404133217,0.8,1023.9,35,89,7.4,0.1,10021.5
59310,20230404133217,5.7,1022.4,83,134,13.8,0.9,10000.9
59316,20230404133217,11.0,1013.3,91,232,8.8,0.3,10473.0
59317,20230404133217,0.7,1006.3,69,259,7.6,0.7,10047.2
59324,20230404133217,21.1,1018.0,47,345,3.4,0.1,10089.1
59456,20230404133217,8.6,1006.7,83,80,3.6,0.0,10351.1
59462,20230404133217,20.8,1020.4,46,47,12.4,0.3,10139.5
59478,20230404133217,18.3,1025.0,69,197,9.1,1.2,10343.3
59485,20230404133217,14.1,1015.2,66,73,6.4,1.5,10394.0
59488,20230404133217,9.9,1026.3,97,50,12.0,0.6,10429.1
59493,20230404133217,24.7,1007.7,77,195,12.1,1.3,10097.7
59501,20230404133217,20.7,1026.3,54,82,12.1,0.1,10195.1
59658,20230404133217,20.3,1004.6,29,281,11.0,1.3,10250.0
59663,20230404133217,3.9,1016.6,5,273,10.9,0.0,10159.9
59664,20230404133217,26.1,1013.6,38,130,2.8,1.4,10086.5
59673,20230404133217,30.3,1015.7,40,348,4.6,0.0,10032.4
59754,20230404133217,26.6,1021.5,56,71,12.8,1.5,10260.3
57947,20230404133217,4.0,1011.8,71,233,14.4,1.4,10122.6
57957,20230404133217,31.7,1023.8,75,47,10.9,1.1,10316.4
57958,20230404133217,13.5,1006.2,8,330,6.5,0.7,10323.0
59021,20230404133217,22.9,1010.6,7,52,5.9,0.5,10442.3
59023,20230404133217,0.1,1015.6,80,6,8.1,0.5,10282.8
59027,20230404133217,20.7,1012.2,78,163,0.7,1.5,10493.6
59037,20230404133217,10.9,1016.8,53,298,14.0,0.4,10048.3
59046,20230404133217,30.8,1008.4,45,330,10.2,1.0,10359.0
59058,20230404133217,18.5,1022.8,70,259,1.1,0.4,10100.0
59065,20230404133217,3.0,1002.1,65,280,13.0,0.1,10492.9
59209,20230404133217,30.9,1011.5,79,157,6.0,0.2,10475.2
59211,20230404133217,3.6,1009.4,69,210,5.5,0.8,10122.5
59218,20230404133217,0.3,1025.9,40,71,2.9,0.4,10450.9
59228,20230404133217,0.2,1023.9,48,66,11.2,0.3,10154.9
59242,20230404133217,34.3,1012.7,63,13,0.2,1.2,10282.0
59254,20230404133217,31.1,1010.9,62,66,12.1,1.4,10242.8
59265,20230404133217,0.3,1002.1,62,258,1.3,0.4,10139.2
59417,20230404133217,24.0,1007.0,33,15,12.1,0.8,10207.9
