站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230404134217,34.8,1001.4,28,291,10.3,0.3,10331.5
58102,20230404134217,0.8,1008.7,74,28,2.4,1.0,10031.2
58118,20230404134217,30.6,1015.6,63,305,3.1,1.0,10046.2
58122,20230404134217,27.2,1024.9,23,53,0.2,1.1,10467.5
58203,20230404134217,23.4,1011.7,16,31,1.3,0.2,10388.9
58215,20230404134217,13.8,1014.5,14,272,10.4,1.0,10105.8
58221,20230404134217,22.2,1025.9,96,33,9.1,0.5,10127.5
58225,20230404134217,5.4,1013.6,70,117,3.0,1.5,10211.7
58236,20230404134217,12.3,1018.4,60,211,10.6,0.3,10150.2
58311,20230404134217,22.1,1019.9,78,258,8.9,0.2,10282.3
58314,20230404134217,10.7,1004.9,65,165,12.3,0.7,10038.5
58319,20230404134217,1.4,1020.3,42,102,0.1,0.2,10293.1
58321,20230404134217,29.3,1020.7,82,99,4.1,0.1,10056.6
58326,20230404134217,23.7,1021.1,85,78,8.5,0.5,10365.8
58336,20230404134217,34.1,1019.9,61,293,3.5,0.4,10393.3
58338,20230404134217,9.5,1003.9,1,297,6.2,0.9,10223.2
58414,20230404134217,17.5,1016.0,32,198,1.4,0.8,10496.2
58419,20230404134217,21.7,1000.3,40,344,7.1,0.0,10098.7
58424,20230404134217,32.9,1020.4,33,308,14.5,1.2,10273.1
58429,20230404134217,11.2,1012.3,64,1,10.7,0.3,10487.7
58436,20230404134217,22.2,1009.4,42,217,1.4,0.4,10060.8
58437,20230404134217,9.9,1008.2,6,316,9.2,0.1,10313.9
58520,20230404134217,27.3,1022.8,17,35,6.4,0.4,10379.6
58531,20230404134217,28.9,1009.7,77,14,11.2,0.3,10316.3
54406,20230404134217,20.8,1024.4,58,95,6.3,1.1,10452.5
54416,20230404134217,19.3,1022.3,22,121,1.0,1.0,10111.3
54511,20230404134217,5.6,1023.5,91,311,10.0,1.4,10236.6
58725,20230404134217,6.7,1010.8,62,239,0.0,0.1,10319.4
58730,20230404134217,31.1,1016.5,14,286,8.6,1.4,10456.9
58731,20230404134217,18.0,1013.3,67,2,4.9,0.7,10059.5
58734,20230404134217,10.8,1015.8,45,56,9.5,1.1,10063.2
58737,20230404134217,13.0,1022.0,38,53,10.6,1.0,10446.9
58744,20230404134217,17.6,1022.9,70,353,7.1,1.4,10137.8
58754,20230404134217,0.5,1025.9,45,120,8.4,0.3,10020.4
58818,20230404134217,16.9,1014.7,90,357,2.0,0.5,10299.3
58820,20230404134217,34.1,1021.2,54,12,2.0,1.4,10366.0
58834,20230404134217,28.8,1001.8,22,284,8.2,0.6,10348.5
58837,20230404134217,17.6,1010.4,21,206,14.0,0.1,10273.3
58843,20230404134217,4.7,1022.8,73,80,13.0,0.5,10169.7
58846,20230404134217,1.1,1010.6,23,109,6.9,0.7,10428.9
58847,20230404134217,29.9,1014.5,63,27,11.3,1.5,10037.7
58911,20230404134217,6.7,1010.7,62,63,0.8,0.9,10410.1
58918,20230404134217,10.9,1000.0,100,13,2.8,0.3,10217.9
58921,20230404134217,3.1,1008.9,43,24,8.3,0.4,10290.3
58926,20230404134217,21.9,1026.4,71,75,6.4,0.0,10080.7
58927,20230404134217,2.5,1023.2,66,236,4.6,0.2,10348.4
58931,20230404134217,24.1,1002.7,54,195,6.2,1.3,10072.5
58933,20230404134217,14.3,1013.6,66,354,1.3,0.7,10466.2
58936,20230404134217,27.3,1012.4,56,330,2.0,1.3,10251.2
58944,20230404134217,7.8,1000.7,60,283,7.6,0.8,10213.1
59113,20230404134217,8.3,1012.3,24,79,1.5,1.3,10163.4
59126,20230404134217,7.4,1026.4,68,10,1.2,0.9,10449.9
59133,20230404134217,5.9,1008.2,47,15,1.8,0.5,10094.9
59134,20230404134217,14.9,1009.6,75,54,8.5,0.1,10218.6
59321,20230404134217,19.1,1006.0,82,284,11.3,0.4,10322.3
52323,20230404134217,26.9,1020.7,51,17,2.1,0.2,10499.4
52418,20230404134217,5.6,1020.8,57,313,9.5,1.5,10491.1
52424,20230404134217,15.1,1023.6,19,316,8.5,0.9,10407.3
52436,20230404134217,31.4,1008.3,21,2,3.8,1.3,10227.6
52446,20230404134217,31.6,1008.5,34,61,14.7,0.0,10246.8
52447,20230404134217,24.2,1008.6,72,269,10.9,1.1,10024.7
52533,20230404134217,29.5,1015.4,16,264,9.1,1.0,10461.0
52546,20230404134217,17.3,1005.4,65,188,0.7,1.2,10090.7
52652,20230404134217,15.1,1007.5,1,107,0.2,0.6,10032.9
52661,20230404134217,26.3,1021.9,73,62,3.0,1.1,10029.8
52674,20230404134217,10.7,1019.4,59,229,10.9,0.9,10237.0
52679,20230404134217,23.1,1025.4,8,278,3.8,0.3,10149.2
52681,20230404134217,27.2,1009.7,10,54,9.7,1.3,10341.1
52787,20230404134217,1.2,1017.4,75,301,7.3,0.2,10245.2
52797,20230404134217,0.5,1022.3,60,166,6.8,0.9,10355.9
52884,20230404134217,29.1,1023.2,75,61,10.2,1.3,10189.3
52895,20230404134217,17.1,1004.9,38,200,6.1,1.4,10417.8
52983,20230404134217,22.6,1017.5,81,182,0.9,1.0,10235.3
