站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230404133117,31.2,1018.4,10,28,0.0,0.2,10475.4
58102,20230404133117,6.0,1026.1,88,215,8.4,1.1,10361.1
58118,20230404133117,29.1,1015.3,93,91,10.2,0.8,10180.5
58122,20230404133117,25.9,1019.7,44,74,12.9,0.2,10146.1
58203,20230404133117,13.8,1011.2,87,45,8.8,0.3,10296.6
58215,20230404133117,6.7,1009.9,66,144,5.2,1.2,10235.7
58221,20230404133117,3.7,1009.0,85,301,2.5,1.3,10306.9
58225,20230404133117,23.2,1018.3,77,84,12.6,1.1,10297.5
58236,20230404133117,12.3,1018.0,49,188,7.2,1.0,10044.0
58311,20230404133117,29.7,1015.4,80,301,5.0,0.8,10456.8
58314,20230404133117,33.3,1017.6,77,209,13.3,0.1,10446.8
58319,20230404133117,23.6,1021.2,68,277,3.5,0.0,10488.9
58321,20230404133117,8.4,1020.5,12,251,9.5,1.5,10404.8
58326,20230404133117,0.7,1021.7,85,223,3.3,0.4,10450.3
58336,20230404133117,20.6,1017.0,55,36,1.3,1.4,10263.7
58338,20230404133117,8.6,1006.7,92,176,13.9,1.1,10080.2
58414,20230404133117,34.4,1002.5,99,320,7.0,0.5,10119.8
58419,20230404133117,29.8,1000.0,3,78,12.0,1.1,10378.7
58424,20230404133117,23.1,1005.8,10,49,1.3,0.3,10318.2
58429,20230404133117,15.3,1003.3,55,75,9.5,0.5,10336.3
58436,20230404133117,6.8,1000.6,30,304,11.3,0.8,10301.5
58437,20230404133117,6.4,1002.4,69,162,1.2,0.6,10077.4
58520,20230404133117,29.4,1016.9,14,37,11.2,0.6,10141.8
58531,20230404133117,18.1,1002.3,4,145,13.8,0.5,10203.3
54406,20230404133117,9.2,1019.7,17,340,1.5,0.2,10279.5
54416,20230404133117,11.4,1023.6,42,313,1.5,0.1,10309.8
54511,20230404133117,15.9,1016.3,8,1,4.3,0.0,10354.0
58725,20230404133117,6.8,1011.9,26,85,8.4,0.1,10271.1
58730,20230404133117,3.9,1008.5,76,186,14.9,1.1,10337.7
58731,20230404133117,3.3,1012.9,16,316,6.5,0.8,10445.7
58734,20230404133117,33.6,1010.9,77,160,5.2,0.3,10007.2
58737,20230404133117,13.4,1025.7,22,3,5.1,0.6,10173.5
58744,20230404133117,31.3,1008.4,32,118,2.2,1.0,10387.2
58754,20230404133117,25.9,1007.4,96,20,8.9,1.0,10112.8
58818,20230404133117,9.8,1004.5,46,9,3.9,0.5,10139.7
58820,20230404133117,2.8,1024.8,73,269,11.7,0.5,10064.8
58834,20230404133117,27.4,1019.8,85,207,2.5,0.7,10391.3
58837,20230404133117,25.2,1000.5,35,232,7.5,1.3,10006.1
58843,20230404133117,9.3,1016.8,50,92,1.3,1.1,10210.6
58846,20230404133117,28.7,1003.7,65,7,8.3,0.4,10438.9
58847,20230404133117,14.9,1015.3,33,9,2.8,1.3,10034.6
58911,20230404133117,5.3,1021.9,95,24,6.0,0.4,10249.3
58918,20230404133117,10.3,1022.6,95,223,0.4,0.3,10464.8
58921,20230404133117,18.9,1000.2,42,285,11.7,0.9,10064.3
58926,20230404133117,7.4,1020.0,62,340,7.8,0.5,10214.8
58927,20230404133117,34.7,1002.0,51,2,4.5,1.2,10218.1
58931,20230404133117,18.1,1006.6,97,194,8.9,1.0,10127.3
58933,20230404133117,33.1,1021.5,77,266,8.0,0.6,10441.2
58936,20230404133117,9.5,1014.7,65,187,7.3,1.3,10104.1
58944,20230404133117,16.0,1003.0,22,190,13.3,0.4,10187.0
59113,20230404133117,14.0,1008.0,41,177,9.9,0.0,10308.6
59126,20230404133117,30.5,1006.0,81,356,6.5,0.0,10117.1
59133,20230404133117,33.1,1010.5,95,334,0.8,1.0,10409.1
59134,20230404133117,21.1,1022.7,42,126,0.9,0.6,10480.5
59321,20230404133117,16.9,1018.8,23,282,10.9,0.2,10302.8
52323,20230404133117,21.5,1013.7,43,230,8.2,1.0,10253.3
52418,20230404133117,9.7,1020.5,90,247,11.5,0.7,10299.6
52424,20230404133117,10.0,1001.5,84,338,8.2,0.8,10482.8
52436,20230404133117,3.8,1016.0,47,136,12.9,1.2,10483.2
52446,20230404133117,4.7,1003.7,23,280,8.6,0.4,10352.5
52447,20230404133117,32.8,1018.6,38,351,12.8,1.0,10262.9
52533,20230404133117,20.1,1008.6,61,59,5.8,0.3,10397.1
52546,20230404133117,15.3,1014.3,27,155,6.3,0.4,10316.5
52652,20230404133117,12.6,1005.2,35,54,7.6,0.4,10440.2
