站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230404133417,25.2,1006.7,16,153,0.3,1.0,10334.0
58102,20230404133417,9.2,1007.0,70,139,9.1,0.1,10156.5
58118,20230404133417,30.2,1006.5,75,349,12.1,0.4,10498.2
58122,20230404133417,25.5,1009.2,78,146,11.3,1.1,10253.1
58203,20230404133417,33.0,1010.5,53,230,0.9,0.4,10344.3
58215,20230404133417,3.3,1001.3,11,287,0.0,1.5,10330.5
58221,20230404133417,18.0,1009.7,36,266,10.4,1.3,10246.0
58225,20230404133417,5.8,1018.0,69,97,14.9,0.2,10119.8
58236,20230404133417,27.4,1019.2,36,315,12.2,1.1,10400.7
58311,20230404133417,25.7,1012.9,21,316,10.9,1.0,10073.0
58314,20230404133417,34.7,1013.6,47,104,11.4,1.3,10127.7
58319,20230404133417,9.2,1023.1,19,76,14.1,1.4,10144.0
58321,20230404133417,24.0,1020.6,1,244,1.3,0.3,10264.5
58326,20230404133417,7.3,1000.2,57,311,13.8,0.0,10373.0
58336,20230404133417,12.2,1021.3,15,80,7.2,0.5,10010.4
58338,20230404133417,3.4,1006.7,39,306,13.5,0.4,10141.9
58414,20230404133417,25.8,1020.7,21,280,8.5,0.5,10426.0
58419,20230404133417,28.3,1023.5,89,158,3.9,1.3,10353.9
58424,20230404133417,3.4,1017.5,81,298,13.6,1.5,10002.2
58429,20230404133417,1.9,1018.8,7,26,5.2,0.4,10029.7
58436,20230404133417,17.9,1014.8,60,246,10.2,0.8,10106.7
58437,20230404133417,6.4,1002.5,65,120,1.7,0.0,10287.7
58520,20230404133417,26.7,1006.9,93,227,12.5,1.3,10298.9
58531,20230404133417,24.7,1013.7,8,183,8.0,0.9,10228.8
54406,20230404133417,17.5,1019.7,26,282,6.2,0.9,10473.8
54416,20230404133417,29.4,1026.1,29,186,7.6,0.4,10067.5
54511,20230404133417,26.7,1018.9,26,352,9.6,0.6,10380.8
58725,20230404133417,8.9,1008.8,9,136,1.5,1.5,10084.1
58730,20230404133417,15.0,1024.8,81,181,3.8,0.5,10184.5
58731,20230404133417,3.5,1015.7,98,159,1.5,0.1,10221.7
58734,20230404133417,32.2,1016.7,72,57,6.3,0.5,10346.1
58737,20230404133417,0.3,1007.4,34,72,1.4,1.3,10054.1
58744,20230404133417,16.2,1019.4,80,220,13.9,1.5,10143.1
58754,20230404133417,3.9,1002.5,70,352,10.9,1.0,10232.4
58818,20230404133417,11.3,1021.8,29,208,6.2,1.1,10298.7
58820,20230404133417,13.3,1023.7,100,37,2.3,0.8,10371.1
58834,20230404133417,23.9,1024.0,91,230,3.4,1.4,10176.8
58837,20230404133417,14.1,1011.6,17,43,9.8,0.5,10409.2
58843,20230404133417,7.4,1008.8,91,257,0.3,1.0,10162.9
58846,20230404133417,11.5,1000.4,16,86,7.6,1.4,10283.5
58847,20230404133417,8.3,1003.5,6,331,12.7,0.0,10237.5
58911,20230404133417,10.0,1024.0,17,230,0.1,0.8,10232.9
58918,20230404133417,17.0,1015.9,34,172,13.4,0.7,10373.8
58921,20230404133417,23.6,1005.6,7,45,12.0,0.1,10147.8
58926,20230404133417,29.9,1022.9,88,272,3.9,0.0,10260.8
58927,20230404133417,11.4,1017.4,59,223,11.4,0.2,10274.3
58931,20230404133417,11.7,1016.8,71,312,3.9,0.3,10179.2
58933,20230404133417,23.0,1020.6,34,32,12.7,1.5,10485.7
58936,20230404133417,11.0,1018.8,22,299,5.2,0.8,10487.4
58944,20230404133417,4.2,1006.0,49,55,14.9,1.4,10145.8
59113,20230404133417,21.1,1021.1,76,146,10.1,0.9,10286.1
59126,20230404133417,10.4,1015.3,43,35,8.4,1.5,10251.7
59133,20230404133417,23.6,1017.8,99,202,13.1,0.3,10105.1
59134,20230404133417,31.1,1018.2,18,342,13.9,0.1,10040.3
59321,20230404133417,6.9,1013.5,48,206,11.2,1.4,10110.0
52323,20230404133417,7.5,1015.6,3,16,7.4,0.8,10144.0
52418,20230404133417,26.6,1017.0,4,241,4.4,0.9,10113.4
52424,20230404133417,28.4,1026.0,2,125,10.7,1.0,10420.5
52436,20230404133417,30.0,1023.1,97,196,6.1,1.1,10056.6
52446,20230404133417,2.6,1007.4,40,199,9.3,1.4,10259.1
52447,20230404133417,23.9,1000.5,19,18,6.6,1.0,10277.1
52533,20230404133417,34.5,1011.5,40,89,5.0,0.8,10043.8
52546,20230404133417,24.5,1015.0,55,327,14.6,0.3,10005.4
52652,20230404133417,29.3,1017.8,92,13,7.0,0.2,10278.1
52661,20230404133417,8.8,1020.4,20,30,11.7,0.6,10377.8
52674,20230404133417,31.0,1023.5,13,329,3.7,0.3,10019.6
52679,20230404133417,16.0,1016.1,98,349,10.3,1.2,10024.5
52681,20230404133417,16.6,1003.5,54,270,5.5,0.0,10428.3
52787,20230404133417,25.4,1023.1,21,198,5.3,1.1,10162.5
52797,20230404133417,31.4,1026.4,82,127,14.1,0.1,10282.3
52884,20230404133417,4.1,1020.1,47,289,8.9,1.2,10214.1
52895,20230404133417,20.2,1014.3,28,105,5.5,0.4,10292.8
52983,20230404133417,28.7,1017.1,3,146,5.5,0.2,10409.4
52984,20230404133417,8.5,1022.6,98,172,14.7,0.3,10059.0
52986,20230404133417,30.7,1017.4,96,310,12.1,0.5,10494.3
52996,20230404133417,29.4,1007.4,10,125,3.7,0.1,10181.1
53821,20230404133417,12.8,1022.4,58,173,4.8,0.8,10295.6
53915,20230404133417,17.8,1020.1,16,315,5.4,1.3,10415.3
53923,20230404133417,31.9,1008.4,87,273,11.8,1.3,10491.2
56074,20230404133417,11.1,1007.8,55,134,1.8,0.3,10260.2
56080,20230404133417,13.6,1025.2,11,238,12.2,0.7,10496.9
56093,20230404133417,4.5,1019.1,95,77,6.8,0.9,10475.7
56096,20230404133417,16.1,1000.4,40,354,6.8,0.1,10403.9
57014,20230404133417,14.0,1017.5,83,80,8.8,0.0,10103.1
57996,20230404133417,30.4,1001.4,47,162,0.6,0.4,10353.9
59072,20230404133417,15.3,1019.2,16,342,1.1,0.5,10225.2
59082,20230404133417,2.8,1023.5,72,223,9.7,1.0,10405.6
59087,20230404133417,4.2,1012.7,50,126,4.9,0.8,10420.7
59088,20230404133417,26.4,1009.7,26,334,12.6,0.7,10357.5
59096,20230404133417,28.4,1018.3,21,95,1.3,0.3,10319.3
59097,20230404133417,21.9,1021.3,2,103,6.9,0.5,10112.2
59107,20230404133417,2.5,1006.2,89,263,12.7,0.6,10341.1
59116,20230404133417,22.4,1002.9,82,254,4.8,1.0,10021.8
59117,20230404133417,4.7,1015.7,70,232,6.7,1.4,10235.9
59271,20230404133417,20.9,1016.6,50,14,8.0,0.7,10355.3
59278,20230404133417,29.9,1020.1,69,277,11.3,1.2,10485.7
59280,20230404133417,21.0,1019.8,43,19,2.4,1.5,10164.1
59287,20230404133417,30.7,1017.4,47,82,1.8,0.4,10035.6
59289,20230404133417,20.5,1024.2,46,46,9.3,1.5,10356.5
59293,20230404133417,21.5,1007.3,83,134,12.6,1.4,10331.0
59294,20230404133417,7.2,1016.0,97,164,1.1,0.2,10419.4
59298,20230404133417,32.4,1023.1,89,332,5.2,1.5,10329.7
59303,20230404133417,24.4,1006.8,81,177,11.5,0.2,10011.6
59304,20230404133417,19.9,1001.8,49,134,2.3,0.6,10180.8
59306,20230404133417,15.2,1009.9,57,350,9.6,0.0,10313.4
59310,20230404133417,34.2,1008.7,30,217,0.8,0.2,10435.0
59316,20230404133417,0.3,1019.3,25,272,10.8,1.2,10354.0
59317,20230404133417,28.0,1005.7,66,153,0.5,1.3,10402.9
59324,20230404133417,26.2,1011.7,33,79,13.1,1.2,10123.5
59456,20230404133417,0.4,1002.5,49,49,13.2,1.0,10398.6
59462,20230404133417,16.3,1013.6,49,283,5.1,0.4,10157.6
59478,20230404133417,29.4,1026.0,79,194,1.3,1.5,10340.1
59485,20230404133417,32.2,1018.9,40,189,0.6,1.5,10159.8
59488,20230404133417,29.8,1008.9,3,230,10.1,1.1,10441.9
