站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230308144932,13.6,1020.6,21,91,7.9,0.5,10125.6
58102,20230308144932,16.8,1021.8,44,291,5.0,1.2,10313.7
58118,20230308144932,13.2,1020.0,13,85,0.6,0.9,10136.9
58122,20230308144932,12.0,1003.7,46,357,11.2,1.1,10125.1
58203,20230308144932,25.7,1016.1,7,303,6.9,0.2,10120.7
58215,20230308144932,24.8,1026.0,32,126,14.3,1.0,10034.6
58221,20230308144932,1.5,1007.4,3,147,14.1,1.1,10258.5
58225,20230308144932,12.2,1019.8,85,294,2.3,0.1,10306.6
58236,20230308144932,29.5,1012.4,13,354,5.2,0.6,10109.2
58311,20230308144932,19.1,1025.1,65,241,14.2,0.7,10226.4
58314,20230308144932,10.6,1013.4,9,283,13.0,0.6,10278.6
58319,20230308144932,13.4,1004.2,17,112,7.8,0.0,10123.1
58321,20230308144932,21.2,1001.5,18,10,11.9,0.9,10309.7
58326,20230308144932,21.6,1019.1,54,225,9.7,0.9,10168.7
58336,20230308144932,2.9,1016.0,6,37,13.9,0.9,10039.6
58338,20230308144932,16.8,1013.3,16,203,10.5,0.7,10167.8
58414,20230308144932,27.0,1015.0,46,66,2.0,1.0,10076.6
58419,20230308144932,33.2,1011.0,81,115,4.6,1.4,10297.1
58424,20230308144932,11.1,1006.8,80,345,7.0,0.8,10092.3
58429,20230308144932,25.1,1017.2,28,103,8.0,0.6,10225.1
58436,20230308144932,1.5,1001.6,47,331,6.1,0.7,10052.3
58437,20230308144932,17.9,1001.3,35,347,5.3,0.2,10331.6
58520,20230308144932,17.0,1022.2,56,18,5.8,0.2,10429.0
58531,20230308144932,10.7,1022.2,99,60,12.6,0.1,10247.3
54406,20230308144932,24.0,1000.4,2,346,9.5,0.3,10002.4
54416,20230308144932,17.0,1004.3,79,185,5.1,0.4,10189.4
54511,20230308144932,16.2,1023.1,68,98,3.5,0.6,10002.9
58725,20230308144932,16.9,1022.2,93,304,13.4,1.0,10276.4
58730,20230308144932,2.5,1005.2,40,301,3.6,0.4,10301.5
58731,20230308144932,18.4,1019.9,89,3,8.9,0.7,10477.8
58734,20230308144932,28.1,1005.3,13,18,6.6,1.1,10204.4
58737,20230308144932,10.0,1025.2,66,89,11.9,0.9,10159.9
58744,20230308144932,19.5,1012.6,90,139,7.0,0.4,10490.5
58754,20230308144932,9.3,1016.8,13,313,11.7,0.4,10462.1
58818,20230308144932,22.4,1016.1,77,188,5.7,0.0,10352.8
58820,20230308144932,21.0,1005.0,8,67,2.7,1.3,10435.4
58834,20230308144932,34.3,1014.9,3,115,13.6,1.2,10213.0
58837,20230308144932,27.5,1013.9,19,305,14.9,1.4,10445.6
58843,20230308144932,23.1,1015.2,47,246,10.8,0.6,10227.7
58846,20230308144932,23.4,1005.3,26,191,8.5,1.2,10085.2
58847,20230308144932,4.7,1007.4,48,183,14.4,0.6,10432.5
58911,20230308144932,11.9,1000.1,97,50,2.2,1.5,10296.4
58918,20230308144932,25.4,1014.4,19,62,3.6,1.3,10054.6
58921,20230308144932,23.3,1004.6,48,204,5.6,0.0,10228.5
58926,20230308144932,6.3,1003.2,27,118,11.8,0.5,10094.3
58927,20230308144932,28.1,1006.4,93,256,12.5,0.8,10473.8
58931,20230308144932,15.8,1010.7,96,124,5.7,1.3,10452.8
58933,20230308144932,25.9,1013.2,88,4,2.4,1.5,10119.3
58936,20230308144932,22.8,1017.4,17,94,11.8,0.2,10078.0
58944,20230308144932,13.8,1021.2,58,41,5.1,0.9,10359.0
59113,20230308144932,27.4,1009.7,90,9,14.9,1.2,10416.0
59126,20230308144932,13.8,1001.1,24,164,13.6,0.7,10120.0
59133,20230308144932,9.7,1021.5,10,82,10.9,1.4,10200.4
59134,20230308144932,24.7,1009.7,5,149,14.4,1.4,10451.4
59321,20230308144932,14.8,1006.3,73,357,0.5,0.5,10480.3
52323,20230308144932,31.1,1014.9,12,233,5.3,1.0,10009.5
52418,20230308144932,21.0,1014.4,71,161,4.9,1.5,10080.5
52424,20230308144932,16.3,1012.7,17,311,13.2,0.0,10012.2
52436,20230308144932,16.8,1024.2,35,314,14.6,1.1,10187.7
52446,20230308144932,31.7,1005.2,10,50,2.4,0.8,10232.5
52447,20230308144932,20.9,1026.4,46,228,5.8,0.7,10077.6
52533,20230308144932,20.5,1000.7,65,161,0.6,0.4,10234.2
52546,20230308144932,28.8,1019.8,77,25,3.5,1.4,10193.9
52652,20230308144932,31.7,1003.9,44,129,14.4,0.8,10249.8
52661,20230308144932,13.3,1015.7,76,169,13.6,0.9,10474.1
52674,20230308144932,33.9,1019.5,39,76,3.7,1.0,10174.3
52679,20230308144932,29.3,1016.2,42,174,4.0,0.1,10420.4
52681,20230308144932,3.4,1020.5,44,233,10.1,1.4,10437.0
52787,20230308144932,11.1,1003.2,2,127,11.9,0.5,10016.7
52797,20230308144932,33.4,1020.0,34,44,14.0,1.5,10244.8
52884,20230308144932,6.2,1005.1,91,146,11.3,1.1,10131.6
52895,20230308144932,30.6,1004.8,13,212,8.3,1.1,10214.9
52983,20230308144932,19.1,1005.8,48,114,3.5,0.5,10307.9
52984,20230308144932,32.1,1019.1,19,34,12.8,1.5,10211.2
52986,20230308144932,11.0,1026.0,32,100,0.3,0.5,10311.1
52996,20230308144932,31.1,1025.1,88,111,5.9,0.7,10491.9
53821,20230308144932,30.1,1022.1,50,169,9.9,0.8,10495.1
53915,20230308144932,9.0,1014.2,17,33,12.5,0.6,10476.6
53923,20230308144932,13.3,1000.3,79,206,1.5,0.9,10075.0
56074,20230308144932,33.0,1021.2,6,344,3.9,0.0,10099.0
56080,20230308144932,8.9,1014.3,63,263,5.1,1.1,10133.6
56093,20230308144932,1.9,1018.0,40,118,0.9,0.7,10423.2
56096,20230308144932,33.3,1016.7,93,320,3.2,1.4,10412.9
57014,20230308144932,33.2,1003.7,94,95,11.6,0.2,10295.7
57996,20230308144932,27.0,1018.9,11,306,8.9,0.8,10309.6
59072,20230308144932,27.5,1008.9,78,222,4.6,0.4,10268.0
59082,20230308144932,34.4,1015.3,65,2,6.7,0.8,10149.6
59087,20230308144932,14.1,1006.1,2,86,1.5,1.0,10122.6
59088,20230308144932,2.9,1003.1,17,219,14.0,1.0,10069.1
59096,20230308144932,26.5,1010.9,51,9,13.5,0.7,10017.8
59097,20230308144932,10.7,1007.5,97,280,11.8,0.8,10443.8
59107,20230308144932,8.8,1014.1,19,157,10.4,1.5,10076.7
59116,20230308144932,33.8,1006.8,50,212,1.4,0.6,10191.4
59117,20230308144932,32.4,1021.9,41,76,4.3,1.0,10186.9
59271,20230308144932,25.1,1023.4,74,313,11.4,0.9,10068.4
59278,20230308144932,24.0,1014.7,90,283,0.3,0.3,10335.1
59280,20230308144932,17.3,1010.0,49,338,10.0,0.6,10301.9
59287,20230308144932,29.6,1022.8,75,224,6.2,1.0,10487.9
59289,20230308144932,1.1,1003.4,23,298,3.0,0.0,10487.5
59293,20230308144932,30.8,1021.5,59,294,14.7,0.3,10271.3
59294,20230308144932,4.0,1020.8,22,249,13.8,1.4,10336.5
59298,20230308144932,33.8,1006.0,71,256,3.8,0.0,10491.2
59303,20230308144932,18.2,1007.7,45,220,7.3,1.5,10332.7
59304,20230308144932,15.9,1022.8,4,233,13.0,0.1,10368.0
59306,20230308144932,23.0,1025.5,97,90,6.8,0.1,10174.8
59310,20230308144932,25.8,1008.9,32,279,10.9,0.1,10275.3
59316,20230308144932,27.7,1002.7,40,352,6.2,0.4,10368.1
59317,20230308144932,4.3,1017.8,64,193,6.8,1.4,10028.6
59324,20230308144932,21.6,1025.6,86,86,4.1,0.1,10028.9
59456,20230308144932,25.1,1003.3,2,112,14.2,0.4,10284.8
59462,20230308144932,33.4,1018.6,80,233,13.5,0.6,10075.1
59478,20230308144932,33.6,1006.1,23,47,0.9,0.9,10446.2
59485,20230308144932,29.3,1018.3,32,58,3.9,0.4,10162.1
59488,20230308144932,34.6,1001.2,66,136,0.5,0.6,10233.0
59493,20230308144932,15.7,1022.3,41,113,9.1,0.7,10165.0
59501,20230308144932,35.0,1023.1,17,100,4.8,1.0,10182.8
59658,20230308144932,12.7,1022.5,52,149,8.8,0.6,10021.0
