站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230404133817,31.2,1011.9,61,85,1.0,0.1,10015.4
58102,20230404133817,12.1,1005.4,43,123,0.8,1.3,10158.3
58118,20230404133817,24.9,1009.0,61,182,10.9,0.9,10352.8
58122,20230404133817,7.9,1013.5,57,284,10.6,0.2,10225.8
58203,20230404133817,8.6,1009.2,39,27,5.4,0.2,10241.0
58215,20230404133817,14.8,1005.3,47,71,12.9,1.2,10383.2
58221,20230404133817,27.8,1001.8,96,273,4.6,0.4,10068.9
58225,20230404133817,24.8,1001.4,28,300,3.4,0.4,10352.1
58236,20230404133817,32.3,1008.3,7,245,0.0,0.4,10199.7
58311,20230404133817,34.5,1024.4,38,89,5.8,1.5,10427.7
58314,20230404133817,22.0,1019.1,60,227,12.6,0.7,10442.1
58319,20230404133817,8.8,1023.0,9,238,11.4,0.7,10259.6
58321,20230404133817,34.7,1023.3,76,272,5.1,0.5,10488.6
58326,20230404133817,34.6,1001.0,3,248,2.4,1.5,10134.9
58336,20230404133817,4.9,1021.9,23,142,4.5,0.5,10202.9
58338,20230404133817,22.9,1008.5,22,306,5.5,0.1,10358.0
58414,20230404133817,20.9,1000.4,76,241,4.2,0.6,10055.7
58419,20230404133817,18.1,1023.5,85,138,6.5,1.4,10218.9
58424,20230404133817,28.6,1023.0,37,216,5.4,0.6,10303.2
58429,20230404133817,8.0,1004.3,52,316,13.4,0.5,10242.8
58436,20230404133817,18.1,1009.6,100,103,2.7,0.2,10249.0
58437,20230404133817,31.0,1001.8,3,66,6.5,0.2,10311.7
58520,20230404133817,14.6,1008.4,23,295,5.9,0.2,10238.9
58531,20230404133817,27.6,1002.5,3,129,1.4,0.5,10416.5
54406,20230404133817,32.6,1020.5,69,291,13.7,1.1,10436.9
54416,20230404133817,2.9,1011.8,92,76,7.1,0.5,10380.5
54511,20230404133817,7.0,1020.4,19,169,11.3,0.1,10263.0
58725,20230404133817,28.7,1014.3,49,291,12.4,0.6,10101.8
58730,20230404133817,28.6,1025.0,7,180,13.6,1.4,10374.7
58731,20230404133817,34.3,1000.8,39,39,13.8,0.5,10278.7
