站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230404190221,6.8,1009.9,19,198,13.8,1.5,10242.9
58102,20230404190221,31.9,1000.3,7,211,3.4,0.5,10382.6
58118,20230404190221,9.9,1001.3,50,226,8.3,1.1,10207.7
58122,20230404190221,22.3,1008.6,25,262,3.6,0.8,10008.6
58203,20230404190221,32.9,1000.2,17,36,5.6,0.6,10138.3
58215,20230404190221,30.6,1008.3,88,299,9.3,0.5,10133.6
58221,20230404190221,31.0,1007.9,95,119,9.4,0.4,10457.2
58225,20230404190221,28.6,1016.6,69,129,7.7,0.8,10100.4
58236,20230404190221,11.7,1015.9,47,294,1.1,1.0,10097.9
58311,20230404190221,8.4,1001.8,77,208,4.3,1.1,10467.8
58314,20230404190221,10.9,1017.7,20,75,7.1,0.5,10283.8
58319,20230404190221,14.0,1022.1,73,208,14.5,1.2,10049.6
58321,20230404190221,34.8,1003.2,1,320,2.1,0.6,10245.4
58326,20230404190221,1.6,1020.8,69,287,1.1,1.2,10269.5
58336,20230404190221,19.6,1024.1,16,213,7.3,0.6,10346.0
58338,20230404190221,32.3,1020.7,76,47,1.5,0.7,10034.2
58414,20230404190221,22.0,1015.2,93,225,2.9,0.0,10494.6
58419,20230404190221,11.4,1017.2,64,299,5.5,0.7,10310.7
58424,20230404190221,25.1,1016.2,27,24,4.0,1.3,10170.1
58429,20230404190221,10.7,1011.0,79,212,3.4,0.2,10397.6
58436,20230404190221,0.4,1017.3,95,52,9.7,1.0,10040.3
58437,20230404190221,15.4,1003.7,75,213,7.7,0.5,10365.6
58520,20230404190221,18.6,1000.3,24,41,9.7,1.3,10006.0
58531,20230404190221,23.9,1019.2,96,2,7.2,1.3,10488.9
54406,20230404190221,21.2,1003.4,47,28,3.5,1.3,10466.5
54416,20230404190221,21.3,1005.6,70,213,6.4,0.3,10410.7
54511,20230404190221,28.5,1016.2,71,235,0.0,0.5,10123.2
58725,20230404190221,22.9,1025.7,7,324,8.5,0.5,10158.3
58730,20230404190221,32.9,1001.4,54,218,0.8,0.0,10139.6
58731,20230404190221,30.8,1004.3,51,250,7.6,0.3,10271.3
58734,20230404190221,27.6,1017.1,42,145,14.8,1.1,10177.6
58737,20230404190221,19.9,1011.0,43,237,14.9,0.0,10031.0
58744,20230404190221,18.4,1012.4,72,316,8.3,1.3,10201.4
58754,20230404190221,14.0,1025.4,45,359,12.4,1.0,10062.7
58818,20230404190221,22.1,1008.2,13,93,13.3,0.9,10269.3
58820,20230404190221,5.4,1013.1,92,323,2.1,0.5,10438.5
58834,20230404190221,33.7,1009.4,66,89,3.8,0.0,10092.5
58837,20230404190221,23.6,1008.0,24,16,14.4,1.5,10439.8
58843,20230404190221,30.2,1016.2,25,11,3.6,0.8,10042.6
58846,20230404190221,20.6,1007.3,47,314,1.0,1.0,10410.5
58847,20230404190221,25.1,1001.0,18,156,6.1,1.4,10078.7
58911,20230404190221,29.8,1017.8,76,174,9.0,1.5,10000.2
58918,20230404190221,2.3,1017.2,99,307,4.2,1.5,10011.8
58921,20230404190221,20.4,1013.8,47,240,10.7,1.3,10031.4
58926,20230404190221,30.3,1002.0,93,282,1.2,0.5,10187.6
58927,20230404190221,29.4,1004.3,30,277,7.3,0.0,10350.6
58931,20230404190221,22.9,1025.7,96,142,3.2,0.9,10219.0
58933,20230404190221,8.9,1025.3,93,212,13.2,0.7,10228.3
58936,20230404190221,25.8,1017.1,60,48,7.3,1.5,10115.5
58944,20230404190221,15.5,1013.4,22,53,11.2,1.4,10331.3
59113,20230404190221,30.5,1020.2,96,11,1.6,1.0,10278.1
59126,20230404190221,10.0,1022.2,16,234,0.6,0.4,10027.7
59133,20230404190221,2.8,1003.9,84,61,13.7,0.2,10388.1
59134,20230404190221,6.0,1005.7,4,107,1.2,0.1,10192.2
59321,20230404190221,7.1,1020.7,5,242,8.4,0.3,10356.0
52323,20230404190221,24.0,1024.3,19,313,13.2,1.0,10258.6
52418,20230404190221,19.0,1019.4,60,200,9.3,0.6,10117.7
52424,20230404190221,11.9,1018.4,55,42,3.8,1.0,10328.2
52436,20230404190221,28.5,1014.0,55,159,6.2,1.0,10033.6
52446,20230404190221,0.4,1026.1,59,262,10.6,0.4,10487.1
52447,20230404190221,29.6,1007.4,88,279,5.8,1.4,10368.1
52533,20230404190221,0.8,1013.8,26,253,3.4,0.8,10282.5
52546,20230404190221,32.1,1022.2,22,265,7.7,0.3,10469.7
52652,20230404190221,0.5,1023.6,2,0,14.7,1.5,10095.2
52661,20230404190221,22.7,1018.4,51,73,0.4,0.1,10250.6
52674,20230404190221,8.3,1003.1,85,236,2.9,0.6,10121.9
52679,20230404190221,22.3,1025.9,82,299,13.6,1.4,10027.7
52681,20230404190221,6.7,1011.7,73,36,1.5,1.3,10074.2
52787,20230404190221,20.0,1015.9,92,281,7.6,0.1,10012.0
52797,20230404190221,30.2,1019.1,39,104,1.7,0.3,10283.1
52884,20230404190221,15.8,1010.4,67,3,8.3,0.7,10336.9
52895,20230404190221,19.9,1011.4,72,356,7.8,0.7,10387.6
52983,20230404190221,28.1,1010.9,94,121,0.5,0.9,10480.3
52984,20230404190221,30.3,1016.3,49,243,0.9,1.4,10106.3
52986,20230404190221,3.0,1015.0,73,296,5.4,1.4,10477.6
52996,20230404190221,13.1,1012.2,47,40,13.8,0.5,10262.2
53821,20230404190221,30.5,1016.2,94,55,8.3,0.2,10405.8
53915,20230404190221,11.0,1006.1,11,132,5.0,1.4,10137.3
53923,20230404190221,2.4,1004.1,1,100,6.2,0.4,10214.9
56074,20230404190221,33.8,1011.3,13,306,5.2,1.0,10256.0
56080,20230404190221,33.5,1005.9,16,100,4.3,0.4,10346.8
56093,20230404190221,31.3,1025.1,4,88,1.8,1.3,10447.5
56096,20230404190221,31.8,1010.3,81,171,6.9,0.8,10252.1
57014,20230404190221,23.4,1002.5,93,22,2.0,1.2,10260.0
57996,20230404190221,32.1,1000.6,27,195,14.5,0.9,10077.6
59072,20230404190221,17.3,1014.1,55,45,9.8,1.3,10280.1
59082,20230404190221,9.6,1026.4,79,198,14.7,1.4,10337.6
59087,20230404190221,21.5,1000.6,46,242,14.8,0.5,10497.8
59088,20230404190221,0.1,1022.8,17,284,5.9,0.3,10095.1
59096,20230404190221,28.6,1010.6,40,324,4.0,0.2,10219.8
59097,20230404190221,16.3,1016.8,48,140,12.8,0.9,10444.6
59107,20230404190221,33.0,1017.1,72,356,7.9,0.4,10065.0
59116,20230404190221,32.3,1012.0,56,207,10.0,0.8,10301.7
59117,20230404190221,11.4,1007.7,4,85,10.5,0.3,10068.7
59271,20230404190221,32.9,1000.7,77,319,14.2,1.1,10085.9
59278,20230404190221,26.2,1009.6,2,222,3.9,0.1,10124.1
59280,20230404190221,15.4,1007.8,50,135,4.9,0.9,10070.3
59287,20230404190221,8.9,1000.1,38,211,4.8,0.5,10496.8
59289,20230404190221,4.9,1019.4,91,125,2.3,0.6,10350.1
59293,20230404190221,26.5,1020.4,49,112,14.5,1.3,10044.5
59294,20230404190221,21.7,1002.9,93,144,11.8,0.2,10365.5
59298,20230404190221,12.6,1010.1,46,60,3.2,1.4,10381.7
59303,20230404190221,9.6,1002.0,13,307,6.1,0.2,10253.0
59304,20230404190221,1.0,1024.8,42,114,6.7,1.3,10069.2
59306,20230404190221,25.2,1004.8,45,350,6.5,0.0,10192.8
59310,20230404190221,32.5,1002.7,6,64,8.3,1.0,10429.4
59316,20230404190221,0.4,1004.1,9,217,6.2,0.4,10434.2
59317,20230404190221,16.5,1000.4,82,192,9.9,0.2,10264.3
59324,20230404190221,22.0,1014.8,17,220,5.4,1.2,10204.3
59456,20230404190221,16.1,1025.3,37,144,3.1,1.3,10158.0
59462,20230404190221,12.3,1010.8,37,342,8.0,0.0,10407.3
59478,20230404190221,25.1,1014.6,69,99,14.3,0.2,10092.1
59485,20230404190221,2.0,1019.1,50,221,14.0,0.1,10331.9
59488,20230404190221,2.6,1020.0,77,185,7.6,1.2,10317.7
59493,20230404190221,30.2,1010.4,82,333,14.9,1.3,10016.3
59501,20230404190221,26.3,1022.1,40,325,3.4,0.7,10334.4
59658,20230404190221,3.6,1013.3,29,352,9.0,0.2,10472.3
59663,20230404190221,5.1,1014.3,79,48,12.1,0.2,10422.3
59664,20230404190221,30.3,1017.7,67,236,2.3,0.3,10482.7
59673,20230404190221,1.0,1026.1,90,4,3.2,0.8,10195.9
59754,20230404190221,26.2,1016.9,27,206,5.3,1.5,10313.3
57947,20230404190221,2.4,1006.5,56,289,13.0,0.2,10444.7
57957,20230404190221,29.6,1012.2,3,192,6.1,1.2,10154.4
57958,20230404190221,16.5,1005.2,43,39,3.5,0.3,10496.6
59021,20230404190221,24.0,1004.1,45,239,0.2,0.7,10214.7
59023,20230404190221,32.0,1012.0,9,2,6.7,0.7,10488.4
59027,20230404190221,26.9,1013.3,41,321,9.6,0.6,10395.7
59037,20230404190221,7.3,1007.4,15,174,3.1,0.4,10039.0
59046,20230404190221,33.4,1021.4,69,239,0.2,0.4,10367.3
59058,20230404190221,1.9,1019.2,16,232,1.9,1.5,10261.7
59065,20230404190221,22.7,1023.6,51,164,4.6,1.0,10320.3
59209,20230404190221,28.0,1007.7,91,352,10.1,1.2,10217.0
59211,20230404190221,19.6,1018.5,52,222,9.9,1.1,10066.6
59218,20230404190221,19.4,1021.8,72,158,7.3,1.4,10109.0
59228,20230404190221,5.0,1005.9,89,141,10.5,1.4,10134.6
59242,20230404190221,19.3,1007.1,3,76,6.8,0.4,10468.8
59254,20230404190221,1.1,1020.9,47,234,5.9,0.5,10377.5
59265,20230404190221,1.0,1001.8,2,274,0.1,0.0,10340.8
59417,20230404190221,10.4,1006.8,95,279,7.7,1.5,10353.1
59431,20230404190221,10.1,1019.5,18,175,10.8,0.3,10182.9
59446,20230404190221,16.8,1018.3,32,270,1.4,0.1,10214.0
59453,20230404190221,29.9,1016.8,66,307,4.6,0.6,10499.4
59626,20230404190221,32.1,1008.8,27,144,0.6,1.2,10301.3
59631,20230404190221,14.3,1006.4,96,197,13.5,0.8,10161.2
59632,20230404190221,2.8,1008.8,89,224,14.9,0.7,10409.1
59644,20230404190221,6.4,1011.1,31,109,12.9,0.7,10048.3
59647,20230404190221,15.2,1005.8,31,156,1.1,1.2,10206.5
56691,20230404190221,7.8,1026.0,49,174,14.2,0.7,10014.1
56693,20230404190221,18.7,1025.3,28,332,9.3,0.7,10074.8
56792,20230404190221,14.7,1008.7,23,338,8.8,0.9,10275.5
56793,20230404190221,6.8,1000.7,29,85,2.2,0.6,10414.2
57606,20230404190221,17.8,1002.8,79,94,5.0,1.0,10282.5
57614,20230404190221,33.3,1008.3,84,259,8.1,1.5,10235.4
57625,20230404190221,0.8,1015.5,93,11,11.7,1.5,10318.2
57647,20230404190221,23.3,1018.2,82,77,12.6,1.3,10112.0
57707,20230404190221,5.3,1001.4,1,114,13.7,0.2,10277.2
57710,20230404190221,30.8,1013.6,2,102,12.9,0.5,10157.4
57712,20230404190221,31.7,1024.7,98,100,13.2,0.6,10136.9
57718,20230404190221,1.7,1005.4,46,349,13.3,0.2,10140.8
57722,20230404190221,30.7,1019.7,14,108,5.8,0.1,10477.5
57729,20230404190221,10.0,1023.3,37,246,14.9,0.5,10390.3
57731,20230404190221,4.1,1019.3,75,331,3.0,1.5,10190.7
57741,20230404190221,23.0,1017.0,48,337,7.6,1.2,10325.7
57803,20230404190221,20.6,1003.5,18,341,5.7,1.4,10022.7
57805,20230404190221,31.0,1025.7,77,174,4.0,0.0,10392.4
57806,20230404190221,7.8,1012.4,22,317,3.2,1.5,10397.7
57816,20230404190221,18.3,1004.8,45,8,3.6,1.5,10243.1
57825,20230404190221,2.8,1016.8,76,262,0.5,0.0,10083.2
57827,20230404190221,0.8,1005.4,25,109,2.1,1.3,10103.0
57832,20230404190221,16.3,1006.0,97,32,1.9,0.9,10077.9
57839,20230404190221,29.0,1023.7,84,219,13.2,0.7,10353.3
57840,20230404190221,6.6,1010.4,97,41,5.2,0.3,10391.3
57902,20230404190221,26.2,1021.4,51,322,4.0,1.4,10469.6
57906,20230404190221,0.2,1019.4,100,55,4.7,1.1,10299.2
57907,20230404190221,2.5,1017.9,51,72,7.8,0.5,10095.7
57910,20230404190221,14.9,1010.5,91,341,13.1,1.0,10272.6
57912,20230404190221,1.1,1012.8,70,226,7.4,0.7,10439.7
57916,20230404190221,33.3,1021.5,25,236,12.9,0.0,10298.4
57922,20230404190221,32.9,1015.3,85,47,9.0,0.2,10270.5
57926,20230404190221,3.3,1003.4,12,191,13.1,0.9,10489.6
57932,20230404190221,21.2,1010.5,80,349,5.0,0.9,10108.8
