站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230404192836,0.9,1010.1,35,241,6.0,1.1,10068.7
58102,20230404192836,0.5,1024.3,29,103,7.2,0.4,10253.0
58118,20230404192836,33.9,1019.0,25,343,7.5,1.5,10066.8
58122,20230404192836,2.8,1016.1,17,293,4.2,0.1,10363.7
58203,20230404192836,33.7,1001.5,81,92,2.6,0.7,10168.5
58215,20230404192836,34.5,1021.6,23,306,0.6,0.2,10363.5
58221,20230404192836,2.8,1005.6,12,88,14.4,0.0,10016.8
58225,20230404192836,19.9,1005.2,7,182,13.5,1.1,10325.1
58236,20230404192836,31.3,1002.9,66,342,3.1,0.2,10237.9
58311,20230404192836,30.8,1016.0,65,338,9.3,0.6,10465.9
58314,20230404192836,3.3,1013.6,51,320,9.9,1.3,10067.3
58319,20230404192836,15.7,1023.1,84,266,6.1,1.0,10015.8
58321,20230404192836,4.6,1015.9,28,186,1.3,0.9,10277.0
58326,20230404192836,3.3,1003.1,100,26,5.8,0.3,10061.5
58336,20230404192836,30.8,1018.4,94,332,4.7,1.5,10026.1
58338,20230404192836,12.6,1020.9,86,284,11.2,1.3,10017.0
58414,20230404192836,4.5,1013.5,4,92,8.4,1.0,10021.3
58419,20230404192836,33.4,1018.2,64,313,2.0,1.0,10370.9
58424,20230404192836,18.6,1015.7,10,33,13.3,0.2,10165.1
58429,20230404192836,14.5,1010.5,24,101,5.9,0.0,10206.3
58436,20230404192836,25.9,1001.6,40,89,14.6,1.4,10203.9
58437,20230404192836,28.1,1021.7,76,109,0.6,1.0,10264.0
58520,20230404192836,27.9,1011.5,76,157,3.0,1.2,10097.4
58531,20230404192836,34.7,1019.0,30,268,14.0,0.0,10082.9
54406,20230404192836,30.2,1019.9,59,137,9.8,0.9,10067.9
54416,20230404192836,11.2,1023.9,52,347,2.3,1.0,10097.8
54511,20230404192836,11.9,1000.5,32,56,11.7,0.2,10340.7
58725,20230404192836,17.5,1024.9,10,325,13.5,0.2,10224.1
58730,20230404192836,16.5,1016.4,47,189,11.0,0.4,10058.7
58731,20230404192836,31.9,1016.2,85,243,5.1,0.7,10293.4
58734,20230404192836,17.7,1023.1,39,36,7.8,0.6,10262.8
58737,20230404192836,14.8,1009.0,31,267,2.7,0.7,10256.1
58744,20230404192836,13.2,1003.4,30,241,2.5,0.3,10140.2
58754,20230404192836,1.3,1004.5,29,134,4.3,0.4,10490.5
58818,20230404192836,31.4,1018.2,32,33,11.1,1.4,10361.6
58820,20230404192836,13.5,1017.4,46,227,7.6,0.4,10383.5
58834,20230404192836,23.5,1005.4,52,167,0.1,0.9,10096.7
58837,20230404192836,32.3,1008.5,32,334,9.8,1.2,10043.0
58843,20230404192836,23.7,1006.4,11,99,2.2,0.6,10456.9
58846,20230404192836,4.4,1014.1,94,44,11.0,1.1,10168.3
58847,20230404192836,0.4,1022.4,52,184,14.0,1.4,10390.1
58911,20230404192836,26.5,1006.7,25,40,4.8,0.0,10401.4
58918,20230404192836,17.7,1000.3,96,9,4.2,1.0,10177.7
58921,20230404192836,0.7,1002.0,94,121,11.6,0.2,10023.0
58926,20230404192836,26.3,1013.9,43,328,9.8,1.3,10080.3
58927,20230404192836,13.5,1004.4,77,94,3.7,0.0,10433.8
58931,20230404192836,31.7,1012.8,94,215,7.6,0.0,10116.1
58933,20230404192836,26.0,1013.6,57,265,14.8,1.3,10127.2
58936,20230404192836,25.6,1005.3,66,346,6.7,1.5,10200.1
58944,20230404192836,16.7,1002.4,28,201,0.3,1.1,10238.3
59113,20230404192836,2.3,1010.8,55,169,1.6,0.3,10171.7
59126,20230404192836,31.6,1005.9,93,106,3.8,0.5,10454.7
59133,20230404192836,1.5,1018.2,91,263,9.2,0.7,10449.7
59134,20230404192836,7.1,1022.6,17,130,7.2,0.0,10182.9
59321,20230404192836,9.5,1005.1,91,100,1.1,0.0,10141.4
52323,20230404192836,5.6,1020.3,19,165,3.3,0.7,10336.8
52418,20230404192836,2.0,1011.2,95,69,11.6,0.9,10430.2
52424,20230404192836,4.1,1015.1,67,121,6.5,0.2,10280.8
52436,20230404192836,7.1,1003.0,47,227,8.2,0.8,10038.2
52446,20230404192836,2.5,1006.3,91,225,12.6,0.4,10196.0
52447,20230404192836,5.8,1006.3,46,184,3.7,0.8,10272.4
52533,20230404192836,10.9,1007.4,11,303,7.7,0.0,10245.2
52546,20230404192836,34.6,1021.3,88,130,14.3,0.9,10484.0
52652,20230404192836,10.0,1013.1,38,153,0.4,1.1,10159.7
52661,20230404192836,2.7,1008.0,54,146,6.3,1.4,10022.6
52674,20230404192836,33.2,1005.2,30,97,2.3,0.3,10101.8
52679,20230404192836,0.2,1012.5,5,33,8.5,1.1,10122.6
52681,20230404192836,20.4,1002.8,26,168,9.9,0.6,10438.3
52787,20230404192836,3.3,1015.1,32,159,3.8,0.4,10416.7
52797,20230404192836,23.7,1015.2,69,216,2.9,1.3,10231.4
52884,20230404192836,6.6,1014.6,34,266,11.1,0.1,10448.2
52895,20230404192836,18.2,1008.2,80,296,11.0,0.8,10344.4
52983,20230404192836,9.4,1010.0,18,118,11.8,1.3,10345.8
52984,20230404192836,2.4,1020.4,47,280,12.8,0.3,10283.4
52986,20230404192836,9.9,1009.1,83,255,10.7,0.3,10111.0
52996,20230404192836,14.1,1009.7,25,98,4.1,0.3,10469.8
53821,20230404192836,12.9,1020.6,84,16,8.2,0.5,10440.4
53915,20230404192836,23.4,1015.1,96,349,4.5,0.9,10428.4
53923,20230404192836,23.1,1009.0,42,294,7.7,0.7,10423.7
56074,20230404192836,22.0,1021.8,75,117,10.2,0.2,10196.7
56080,20230404192836,0.8,1016.4,23,99,6.7,0.6,10455.8
56093,20230404192836,34.1,1021.1,2,214,11.7,0.4,10230.0
56096,20230404192836,21.1,1013.2,37,80,0.2,1.3,10310.2
57014,20230404192836,10.4,1004.3,28,278,4.6,0.1,10319.4
57996,20230404192836,15.4,1024.7,51,313,5.8,0.5,10222.5
59072,20230404192836,32.6,1019.3,9,207,14.4,1.0,10427.3
59082,20230404192836,26.4,1004.7,97,347,10.6,0.0,10099.2
59087,20230404192836,9.2,1005.8,47,142,6.6,1.4,10010.8
59088,20230404192836,34.4,1010.7,88,282,13.1,0.2,10455.6
59096,20230404192836,0.1,1021.3,2,209,4.6,0.9,10322.7
59097,20230404192836,17.9,1006.3,30,315,8.8,1.3,10014.3
59107,20230404192836,30.8,1016.1,3,85,7.4,0.5,10208.5
59116,20230404192836,28.6,1015.0,61,207,5.4,0.8,10361.6
59117,20230404192836,16.2,1022.8,79,179,10.3,1.5,10391.0
59271,20230404192836,21.9,1008.0,97,83,11.6,0.9,10325.7
59278,20230404192836,7.5,1018.7,33,300,6.5,1.5,10326.9
59280,20230404192836,10.2,1008.6,7,235,1.3,1.4,10122.5
59287,20230404192836,1.3,1006.1,65,335,5.4,0.2,10172.8
59289,20230404192836,9.2,1025.3,36,140,11.4,1.2,10102.4
59293,20230404192836,28.2,1011.2,54,276,1.2,1.0,10269.4
59294,20230404192836,21.9,1023.0,95,141,6.3,0.8,10142.6
59298,20230404192836,10.3,1001.4,52,285,8.5,1.5,10472.0
59303,20230404192836,14.4,1003.3,41,191,3.3,1.5,10365.7
59304,20230404192836,19.0,1003.9,20,211,1.9,0.9,10312.5
59306,20230404192836,17.8,1009.8,9,332,13.8,1.0,10231.3
