站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230404192236,14.0,1015.8,16,32,3.1,1.3,10256.9
58102,20230404192236,21.2,1013.3,90,62,12.5,1.5,10474.9
58118,20230404192236,0.6,1016.9,65,167,14.8,1.3,10254.1
58122,20230404192236,18.0,1015.5,90,95,10.2,0.3,10406.7
58203,20230404192236,24.4,1022.9,90,76,4.0,0.0,10284.7
58215,20230404192236,30.8,1019.2,22,77,3.3,0.2,10453.4
58221,20230404192236,14.0,1001.9,39,271,13.0,0.7,10159.3
58225,20230404192236,8.9,1022.3,77,186,12.3,0.1,10483.6
58236,20230404192236,12.5,1006.5,94,261,1.5,1.0,10306.2
58311,20230404192236,29.6,1008.7,91,170,5.6,0.3,10281.9
58314,20230404192236,5.1,1004.3,80,210,7.9,1.4,10414.7
58319,20230404192236,28.2,1009.5,12,29,2.3,0.3,10033.3
58321,20230404192236,28.4,1006.7,51,94,14.7,0.7,10341.0
58326,20230404192236,12.1,1021.0,10,291,11.4,1.1,10349.2
58336,20230404192236,29.2,1014.2,63,64,13.7,0.9,10093.4
58338,20230404192236,23.8,1015.6,8,88,3.6,1.1,10121.7
58414,20230404192236,28.8,1004.8,59,348,1.5,0.8,10184.4
58419,20230404192236,9.1,1003.6,75,129,7.8,1.1,10391.6
58424,20230404192236,5.6,1018.4,56,258,14.6,0.9,10224.5
58429,20230404192236,16.0,1016.0,50,162,2.4,0.8,10293.9
58436,20230404192236,2.8,1020.7,54,164,13.6,0.7,10211.5
58437,20230404192236,29.3,1025.4,19,58,7.2,0.8,10224.3
58520,20230404192236,16.0,1024.4,2,27,6.3,0.4,10364.8
58531,20230404192236,11.4,1019.7,1,237,3.9,1.3,10033.9
54406,20230404192236,34.6,1008.2,83,168,13.5,0.3,10406.2
54416,20230404192236,13.1,1009.1,89,8,1.7,0.6,10006.4
54511,20230404192236,29.1,1003.5,48,254,8.4,0.0,10081.3
58725,20230404192236,29.2,1019.3,60,161,8.7,1.5,10033.2
58730,20230404192236,1.5,1005.0,59,234,11.7,0.0,10066.0
58731,20230404192236,14.8,1010.8,79,349,12.6,0.2,10042.4
58734,20230404192236,23.7,1025.1,58,15,3.1,0.8,10186.6
58737,20230404192236,34.2,1006.1,76,166,1.6,0.6,10368.2
58744,20230404192236,31.6,1008.2,39,221,10.7,0.4,10067.4
58754,20230404192236,33.0,1004.5,50,101,11.8,0.7,10070.5
58818,20230404192236,20.0,1012.5,21,111,12.4,0.1,10415.9
58820,20230404192236,7.8,1018.0,61,195,9.1,1.1,10341.9
58834,20230404192236,18.6,1003.1,74,194,6.8,0.7,10398.1
58837,20230404192236,11.0,1020.9,76,233,4.9,0.1,10189.8
58843,20230404192236,31.6,1014.4,50,127,0.2,0.1,10243.7
58846,20230404192236,22.0,1005.4,37,325,13.6,0.0,10200.4
58847,20230404192236,10.2,1011.3,7,259,10.4,0.3,10028.0
58911,20230404192236,8.3,1007.2,3,353,5.3,1.3,10208.7
58918,20230404192236,10.7,1010.4,46,45,1.1,0.2,10470.5
58921,20230404192236,33.8,1020.6,3,333,6.7,0.6,10124.1
58926,20230404192236,20.0,1005.2,44,273,7.0,0.6,10153.9
58927,20230404192236,6.8,1023.6,80,241,2.6,0.1,10130.0
58931,20230404192236,10.6,1013.7,15,294,1.9,0.7,10317.2
58933,20230404192236,6.4,1019.1,56,357,7.4,0.1,10250.3
58936,20230404192236,8.5,1026.1,25,328,8.3,0.0,10448.2
58944,20230404192236,29.4,1012.5,60,200,5.3,1.0,10435.5
59113,20230404192236,28.6,1026.0,42,69,13.7,1.1,10044.2
59126,20230404192236,14.8,1013.6,8,50,2.4,1.4,10489.2
59133,20230404192236,24.3,1013.2,82,103,6.8,0.6,10169.3
59134,20230404192236,12.8,1007.6,79,296,9.6,0.9,10325.5
59321,20230404192236,33.3,1021.1,76,71,5.6,0.8,10265.5
52323,20230404192236,11.0,1014.8,88,214,13.9,1.4,10461.7
52418,20230404192236,0.6,1017.1,85,276,3.3,0.1,10275.6
52424,20230404192236,2.7,1020.1,57,236,14.9,0.6,10163.1
52436,20230404192236,28.4,1020.0,6,357,10.6,0.8,10220.8
52446,20230404192236,22.8,1015.6,73,167,11.9,0.7,10175.5
52447,20230404192236,11.3,1009.3,7,227,12.1,1.4,10095.9
52533,20230404192236,34.7,1000.7,56,149,8.1,0.7,10212.6
52546,20230404192236,16.1,1013.2,82,318,12.2,0.3,10404.8
52652,20230404192236,24.3,1023.7,8,30,11.6,0.7,10480.7
52661,20230404192236,32.5,1000.2,64,96,5.2,0.9,10360.9
52674,20230404192236,5.9,1025.8,20,199,12.1,1.4,10370.0
52679,20230404192236,3.2,1002.8,58,146,8.5,0.3,10050.3
52681,20230404192236,5.8,1009.3,92,38,4.7,1.0,10448.0
52787,20230404192236,15.4,1009.1,32,181,2.4,1.4,10056.5
52797,20230404192236,3.1,1016.1,74,332,7.9,0.4,10064.8
52884,20230404192236,32.7,1023.0,25,348,5.8,1.3,10093.3
52895,20230404192236,30.9,1004.4,12,284,10.2,1.1,10258.1
52983,20230404192236,12.6,1018.0,24,125,8.7,1.0,10404.4
52984,20230404192236,22.5,1011.6,65,299,11.9,0.1,10133.0
52986,20230404192236,12.4,1025.0,76,263,10.5,1.1,10470.1
52996,20230404192236,21.5,1011.7,59,308,5.7,1.0,10302.6
53821,20230404192236,14.2,1024.7,7,151,3.2,1.0,10331.3
53915,20230404192236,1.7,1008.6,96,312,13.9,0.7,10400.8
53923,20230404192236,13.5,1025.5,16,359,8.5,0.6,10044.3
56074,20230404192236,33.9,1012.4,78,77,7.4,0.4,10452.6
56080,20230404192236,8.4,1008.0,82,154,3.7,1.1,10416.8
56093,20230404192236,30.3,1012.9,88,31,10.8,0.6,10073.1
56096,20230404192236,2.3,1015.4,100,78,4.6,0.7,10175.2
57014,20230404192236,10.6,1000.0,84,337,14.7,1.2,10068.7
57996,20230404192236,11.0,1024.0,4,156,11.2,0.8,10355.9
59072,20230404192236,4.4,1010.5,9,31,14.5,1.5,10388.7
59082,20230404192236,33.2,1001.0,90,274,12.6,0.1,10252.8
59087,20230404192236,13.3,1014.9,86,86,5.9,0.0,10039.4
59088,20230404192236,29.9,1023.3,22,29,8.5,0.4,10153.8
59096,20230404192236,23.1,1004.0,89,309,3.6,0.0,10356.2
59097,20230404192236,9.8,1011.6,35,140,2.8,0.0,10490.0
59107,20230404192236,4.1,1011.8,12,228,6.7,1.2,10215.2
59116,20230404192236,4.3,1018.7,23,107,10.2,0.0,10449.9
59117,20230404192236,9.2,1012.0,7,107,8.3,0.2,10199.3
59271,20230404192236,10.2,1015.7,10,74,14.0,0.8,10287.0
59278,20230404192236,33.7,1004.0,93,306,13.3,0.3,10148.1
59280,20230404192236,33.3,1022.7,95,32,12.1,0.4,10395.8
59287,20230404192236,13.1,1009.4,89,214,3.7,1.4,10476.6
59289,20230404192236,1.6,1020.0,44,163,8.4,0.0,10290.8
59293,20230404192236,10.6,1003.3,96,317,11.8,0.7,10456.6
59294,20230404192236,26.7,1009.8,32,67,4.7,0.1,10111.1
59298,20230404192236,4.5,1006.2,12,255,11.4,0.3,10424.0
59303,20230404192236,17.6,1020.7,64,165,13.7,0.2,10014.3
59304,20230404192236,13.0,1014.1,70,281,5.9,0.8,10363.4
59306,20230404192236,25.7,1012.8,75,173,9.8,1.3,10410.5
59310,20230404192236,14.5,1017.9,34,125,13.4,1.2,10310.4
59316,20230404192236,20.0,1000.6,71,113,4.3,0.9,10450.5
59317,20230404192236,2.3,1026.2,51,207,0.5,0.3,10342.2
59324,20230404192236,15.7,1012.0,59,286,14.0,1.3,10002.8
59456,20230404192236,34.2,1017.2,74,226,2.9,1.0,10020.3
59462,20230404192236,28.3,1008.5,65,283,14.8,1.4,10176.7
59478,20230404192236,33.9,1020.2,47,27,1.6,0.0,10283.5
59485,20230404192236,29.1,1018.5,95,77,0.2,0.8,10386.2
59488,20230404192236,2.6,1022.2,17,357,8.0,1.3,10252.5
59493,20230404192236,1.0,1017.2,81,174,9.7,0.4,10443.8
59501,20230404192236,33.4,1002.3,54,212,5.7,0.7,10136.4
59658,20230404192236,20.0,1019.2,6,138,11.4,1.1,10012.8
59663,20230404192236,3.3,1020.0,72,32,4.3,0.3,10032.7
59664,20230404192236,2.5,1022.3,27,186,7.5,0.6,10106.5
59673,20230404192236,25.8,1017.9,50,185,8.7,0.6,10014.8
59754,20230404192236,11.2,1026.3,89,231,5.2,0.5,10118.8
57947,20230404192236,33.7,1001.4,58,334,14.9,1.2,10215.8
57957,20230404192236,25.0,1013.0,1,149,0.0,1.0,10165.9
57958,20230404192236,20.9,1015.1,68,285,4.1,0.8,10240.8
59021,20230404192236,9.9,1015.5,48,129,7.5,0.7,10487.8
59023,20230404192236,28.9,1001.0,23,165,12.6,1.1,10105.1
59027,20230404192236,23.4,1000.3,31,332,8.3,1.4,10019.7
59037,20230404192236,16.2,1002.6,2,144,4.7,0.8,10088.2
59046,20230404192236,10.4,1015.4,100,13,11.1,1.4,10490.0
59058,20230404192236,18.1,1022.5,55,306,11.7,0.8,10209.5
59065,20230404192236,3.3,1017.9,44,60,12.3,0.5,10023.1
59209,20230404192236,33.8,1025.1,91,282,1.7,0.3,10111.0
59211,20230404192236,2.0,1006.8,28,107,5.4,1.0,10151.0
59218,20230404192236,14.5,1023.1,35,135,11.1,1.2,10280.2
59228,20230404192236,13.9,1004.7,86,163,7.6,0.5,10430.8
59242,20230404192236,15.4,1018.1,41,158,6.4,1.0,10327.6
59254,20230404192236,4.0,1004.5,12,250,14.1,0.2,10305.2
59265,20230404192236,13.8,1021.2,42,353,14.5,1.1,10047.0
59417,20230404192236,26.4,1000.0,43,169,8.2,0.3,10396.9
59431,20230404192236,4.5,1010.5,62,80,11.7,0.5,10221.2
59446,20230404192236,27.2,1017.6,72,277,11.1,1.0,10013.4
59453,20230404192236,23.8,1026.2,29,260,4.1,0.1,10220.7
59626,20230404192236,28.9,1010.6,35,346,1.1,0.0,10137.0
59631,20230404192236,27.7,1024.5,1,5,1.6,0.5,10120.1
59632,20230404192236,13.7,1021.0,85,200,5.1,1.1,10433.8
59644,20230404192236,8.5,1020.8,57,279,6.5,0.8,10245.4
59647,20230404192236,19.5,1007.3,37,106,9.9,1.4,10003.3
56691,20230404192236,29.8,1002.3,80,17,5.6,0.0,10038.8
56693,20230404192236,14.8,1004.8,28,301,10.8,0.7,10108.9
56792,20230404192236,13.2,1003.2,20,36,11.5,0.7,10050.7
56793,20230404192236,1.1,1010.7,67,204,11.7,0.6,10268.3
57606,20230404192236,27.4,1013.0,35,320,12.5,0.9,10068.0
57614,20230404192236,34.7,1015.7,52,27,4.1,1.0,10199.0
57625,20230404192236,32.7,1009.6,3,91,1.8,0.9,10033.8
57647,20230404192236,30.0,1018.8,35,21,6.2,0.0,10294.3
57707,20230404192236,19.8,1009.9,8,209,13.1,0.1,10426.2
57710,20230404192236,21.3,1000.8,71,92,5.6,0.1,10181.8
57712,20230404192236,19.4,1014.0,21,170,10.1,0.6,10458.5
57718,20230404192236,16.8,1002.0,53,358,9.6,1.4,10332.5
57722,20230404192236,25.4,1022.3,45,90,4.5,0.3,10273.5
57729,20230404192236,16.7,1000.9,73,207,0.4,0.6,10400.2
57731,20230404192236,22.5,1023.2,33,149,7.3,0.4,10232.5
57741,20230404192236,13.5,1017.7,26,346,2.4,0.2,10338.7
57803,20230404192236,14.4,1013.6,36,91,0.5,1.5,10101.5
57805,20230404192236,27.5,1010.4,14,188,3.0,1.3,10316.8
57806,20230404192236,8.3,1014.5,49,207,14.7,0.4,10206.8
57816,20230404192236,10.7,1019.4,22,79,11.3,1.0,10067.1
57825,20230404192236,17.1,1018.1,3,160,14.3,0.5,10018.0
57827,20230404192236,0.1,1019.1,18,40,10.7,0.2,10341.1
57832,20230404192236,30.6,1009.2,97,315,9.7,0.0,10303.3
57839,20230404192236,26.7,1018.1,32,149,1.3,1.2,10066.9
57840,20230404192236,5.7,1005.6,67,46,7.7,0.0,10109.3
57902,20230404192236,30.1,1023.4,23,300,3.2,0.3,10313.0
