站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230407130207,24.4,1011.8,81,255,1.8,0.2,10307.8
58102,20230407130207,24.4,1012.5,12,346,6.3,1.2,10239.6
58118,20230407130207,8.5,1024.0,45,55,6.4,1.0,10161.4
58122,20230407130207,18.7,1002.0,4,75,6.0,0.7,10096.9
58203,20230407130207,18.2,1018.8,18,355,1.8,0.6,10345.2
58215,20230407130207,3.1,1014.6,26,32,14.1,0.4,10231.7
58221,20230407130207,26.8,1005.6,72,182,5.3,1.1,10238.6
58225,20230407130207,21.4,1014.1,82,120,9.6,0.8,10060.2
58236,20230407130207,5.8,1022.2,62,257,0.0,0.6,10400.2
58311,20230407130207,16.9,1009.0,67,308,14.6,1.5,10273.8
58314,20230407130207,6.0,1023.4,43,355,8.7,0.1,10075.8
58319,20230407130207,16.5,1016.0,1,182,9.3,0.1,10177.0
58321,20230407130207,1.6,1009.4,23,299,4.1,0.7,10398.8
58326,20230407130207,22.8,1018.1,61,343,14.8,0.7,10295.3
58336,20230407130207,2.6,1022.0,76,356,0.2,1.3,10163.4
58338,20230407130207,23.3,1026.4,75,192,6.4,1.0,10042.6
58414,20230407130207,20.3,1021.2,33,30,7.6,1.5,10017.2
58419,20230407130207,13.3,1007.7,31,143,11.0,0.7,10496.3
58424,20230407130207,24.7,1014.7,51,246,14.2,1.0,10427.5
58429,20230407130207,19.5,1007.9,31,76,8.4,0.4,10243.8
58436,20230407130207,32.3,1025.5,19,140,3.7,1.4,10043.7
58437,20230407130207,1.0,1024.7,65,276,5.0,1.1,10137.6
58520,20230407130207,20.9,1006.3,27,231,11.0,1.3,10065.8
58531,20230407130207,28.3,1008.9,77,299,10.8,1.0,10052.5
54406,20230407130207,1.3,1024.6,8,85,4.3,0.5,10226.5
54416,20230407130207,33.4,1017.0,68,29,8.3,0.0,10255.5
54511,20230407130207,21.5,1013.9,85,37,1.7,1.5,10152.1
58725,20230407130207,14.6,1001.9,51,33,10.5,1.0,10188.4
58730,20230407130207,14.5,1005.0,72,150,4.8,0.6,10253.6
58731,20230407130207,26.8,1023.8,13,96,12.9,1.5,10338.6
58734,20230407130207,12.3,1005.0,63,21,9.6,0.3,10108.2
58737,20230407130207,20.0,1019.4,72,164,6.0,0.2,10308.4
58744,20230407130207,24.9,1026.2,15,250,3.7,1.4,10024.4
58754,20230407130207,2.3,1016.9,48,319,1.8,1.5,10386.8
58818,20230407130207,1.9,1006.3,34,95,5.8,1.1,10250.7
58820,20230407130207,23.6,1013.1,67,200,6.2,1.4,10302.4
58834,20230407130207,32.0,1003.9,48,47,1.8,0.5,10460.1
58837,20230407130207,27.6,1023.2,63,155,1.4,1.4,10396.7
58843,20230407130207,9.3,1019.6,35,103,11.4,0.7,10395.8
58846,20230407130207,1.2,1022.9,67,140,11.3,0.0,10288.5
58847,20230407130207,28.0,1012.9,70,320,9.0,0.4,10301.6
58911,20230407130207,32.3,1016.0,10,329,2.7,1.2,10017.8
58918,20230407130207,16.7,1022.2,44,125,0.5,0.1,10321.7
58921,20230407130207,19.5,1017.9,11,135,11.0,0.4,10443.7
58926,20230407130207,4.1,1008.0,32,293,14.1,0.1,10274.6
58927,20230407130207,20.2,1004.1,41,325,5.1,1.4,10318.3
58931,20230407130207,24.7,1016.4,31,322,0.8,0.9,10389.6
58933,20230407130207,32.8,1017.7,61,215,14.6,1.5,10491.4
58936,20230407130207,25.8,1024.3,62,344,1.8,0.9,10045.1
58944,20230407130207,11.2,1011.6,91,294,1.7,1.5,10255.7
59113,20230407130207,18.9,1023.2,6,20,6.3,0.3,10207.6
59126,20230407130207,17.3,1021.3,75,166,11.5,0.3,10312.5
59133,20230407130207,33.1,1024.5,57,263,1.5,0.6,10222.5
59134,20230407130207,28.0,1019.8,50,66,1.1,0.7,10030.0
59321,20230407130207,27.1,1005.1,32,359,6.3,0.4,10280.7
52323,20230407130207,17.1,1007.0,27,189,3.8,0.0,10195.9
52418,20230407130207,33.7,1010.2,15,198,4.9,0.6,10242.6
52424,20230407130207,10.7,1023.7,1,241,10.5,0.1,10392.2
52436,20230407130207,11.3,1001.8,40,77,1.9,1.4,10360.8
52446,20230407130207,21.9,1002.5,1,21,3.5,1.0,10413.9
52447,20230407130207,20.6,1005.3,4,138,11.8,0.1,10051.6
52533,20230407130207,2.4,1016.9,90,246,13.2,0.9,10056.5
52546,20230407130207,25.9,1025.3,87,308,8.6,0.5,10469.1
52652,20230407130207,24.4,1014.4,6,22,0.9,1.3,10376.4
52661,20230407130207,20.8,1004.7,20,261,6.6,0.6,10455.2
52674,20230407130207,21.5,1007.6,48,275,3.0,0.4,10404.7
52679,20230407130207,29.4,1016.2,82,354,7.0,0.4,10496.4
52681,20230407130207,14.8,1005.2,20,96,14.9,1.2,10225.1
52787,20230407130207,5.1,1016.1,15,97,12.3,0.1,10441.8
52797,20230407130207,29.7,1001.2,82,267,4.8,1.2,10113.7
52884,20230407130207,21.2,1013.6,78,135,14.6,0.2,10120.9
52895,20230407130207,13.3,1001.0,12,147,8.0,1.4,10465.3
52983,20230407130207,7.3,1018.4,54,311,9.5,0.4,10031.4
52984,20230407130207,32.9,1014.3,32,130,1.3,0.5,10033.4
52986,20230407130207,18.1,1015.8,73,312,1.2,1.3,10253.3
52996,20230407130207,11.4,1020.2,90,238,9.2,0.1,10011.0
53821,20230407130207,3.1,1010.3,53,3,9.2,0.6,10276.9
53915,20230407130207,17.0,1003.6,49,158,13.1,0.3,10192.4
53923,20230407130207,21.3,1002.9,58,168,4.0,0.2,10001.6
56074,20230407130207,31.7,1013.3,93,44,14.5,0.2,10213.4
56080,20230407130207,32.0,1017.5,5,252,1.8,0.8,10435.5
56093,20230407130207,18.1,1006.9,16,124,4.2,0.7,10204.9
56096,20230407130207,15.0,1017.7,35,100,13.9,0.0,10273.1
57014,20230407130207,33.5,1022.6,82,193,10.9,0.5,10478.3
57996,20230407130207,34.0,1020.2,96,327,14.2,0.3,10103.3
59072,20230407130207,15.8,1009.6,32,346,7.2,0.6,10022.7
59082,20230407130207,19.0,1004.6,46,131,5.6,1.1,10149.7
59087,20230407130207,31.8,1021.8,41,336,9.9,0.9,10195.5
59088,20230407130207,7.5,1020.6,11,80,10.4,1.3,10415.1
59096,20230407130207,17.5,1010.2,31,61,11.5,1.4,10030.2
59097,20230407130207,6.1,1004.0,71,242,2.4,0.7,10376.6
59107,20230407130207,33.8,1023.6,58,357,12.0,0.1,10314.4
59116,20230407130207,9.4,1022.0,15,194,1.8,0.4,10045.7
59117,20230407130207,15.0,1018.3,74,263,14.0,1.2,10411.9
59271,20230407130207,10.8,1015.0,25,15,3.2,0.2,10176.1
59278,20230407130207,31.1,1002.1,96,226,10.7,1.2,10283.0
59280,20230407130207,14.1,1008.9,69,101,7.1,1.0,10206.0
59287,20230407130207,30.9,1001.7,43,46,14.6,1.1,10200.2
59289,20230407130207,22.1,1010.6,78,346,4.1,1.3,10195.4
59293,20230407130207,0.2,1012.5,43,160,0.8,0.1,10362.2
59294,20230407130207,17.1,1015.9,35,357,14.0,0.7,10176.4
59298,20230407130207,7.4,1025.9,39,105,5.2,1.2,10029.9
59303,20230407130207,0.4,1009.2,65,250,2.1,0.5,10005.0
59304,20230407130207,10.1,1001.8,30,128,14.0,0.8,10394.7
59306,20230407130207,26.1,1005.9,93,279,0.1,0.6,10297.0
59310,20230407130207,18.3,1024.3,20,195,7.3,0.1,10492.0
59316,20230407130207,31.8,1019.6,84,7,4.0,1.5,10178.7
59317,20230407130207,11.5,1017.5,7,116,13.5,0.3,10395.5
59324,20230407130207,33.4,1011.9,38,109,1.9,0.1,10127.9
59456,20230407130207,27.2,1006.3,17,93,4.1,1.5,10405.6
59462,20230407130207,27.3,1016.1,81,283,3.7,0.7,10089.9
59478,20230407130207,13.2,1018.9,41,101,10.7,1.0,10097.6
59485,20230407130207,23.6,1015.3,35,300,9.3,0.3,10050.2
59488,20230407130207,26.3,1018.8,50,274,1.1,0.6,10399.2
59493,20230407130207,11.8,1000.8,21,39,5.0,1.2,10392.8
59501,20230407130207,33.1,1001.8,86,29,13.2,0.1,10265.7
59658,20230407130207,7.2,1021.3,29,264,5.6,0.2,10199.3
59663,20230407130207,12.9,1022.6,59,95,8.9,1.1,10376.6
59664,20230407130207,23.8,1011.0,2,354,8.1,0.9,10139.3
59673,20230407130207,22.4,1002.8,41,112,14.3,0.9,10088.3
59754,20230407130207,7.8,1002.4,54,177,12.7,0.5,10220.6
57947,20230407130207,0.1,1009.1,63,39,8.4,1.2,10405.2
57957,20230407130207,21.2,1001.4,9,25,10.7,0.9,10001.4
57958,20230407130207,19.7,1019.7,58,221,5.7,0.9,10217.8
