站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230407131108,32.0,1018.6,42,189,2.9,0.9,10232.6
58102,20230407131108,28.4,1008.8,35,53,2.0,0.1,10230.1
58118,20230407131108,18.6,1023.3,44,242,10.2,0.6,10498.4
58122,20230407131108,7.3,1013.5,69,356,2.8,0.5,10022.9
58203,20230407131108,19.1,1022.5,3,347,2.8,0.3,10283.7
58215,20230407131108,28.8,1025.3,1,130,13.2,0.6,10373.8
58221,20230407131108,6.3,1019.3,56,265,0.2,1.0,10438.6
58225,20230407131108,17.7,1014.0,21,295,10.5,1.2,10091.6
58236,20230407131108,12.7,1018.9,20,11,5.1,1.0,10170.5
58311,20230407131108,18.5,1003.9,48,257,3.8,1.1,10340.0
58314,20230407131108,27.6,1010.4,63,96,14.9,0.1,10378.4
58319,20230407131108,2.3,1022.0,90,261,9.7,0.5,10341.6
58321,20230407131108,3.1,1013.8,82,238,11.2,0.0,10015.1
58326,20230407131108,5.0,1023.6,32,296,14.6,0.6,10086.5
58336,20230407131108,14.0,1008.8,6,218,6.4,0.7,10091.1
58338,20230407131108,6.1,1023.4,48,101,6.1,0.0,10068.6
58414,20230407131108,7.7,1001.9,12,322,5.4,0.0,10314.3
58419,20230407131108,24.8,1021.7,74,143,12.5,0.1,10326.5
58424,20230407131108,8.9,1004.5,65,229,11.5,1.3,10261.0
58429,20230407131108,3.6,1021.9,54,339,3.0,1.3,10133.7
58436,20230407131108,15.7,1026.4,55,189,4.1,1.0,10024.1
58437,20230407131108,10.1,1012.2,65,194,5.9,0.1,10375.7
58520,20230407131108,15.0,1009.7,29,50,3.0,0.9,10418.9
58531,20230407131108,28.0,1024.4,40,9,5.3,0.9,10281.7
54406,20230407131108,8.6,1002.6,1,324,3.7,0.6,10119.8
54416,20230407131108,33.6,1007.2,38,256,8.5,0.1,10435.9
54511,20230407131108,12.1,1024.0,89,253,8.5,1.2,10413.8
58725,20230407131108,19.6,1017.6,17,42,2.6,0.7,10056.1
58730,20230407131108,27.5,1018.7,20,297,5.0,0.3,10395.5
58731,20230407131108,24.1,1016.1,20,8,4.8,0.8,10267.1
58734,20230407131108,34.3,1022.9,88,60,0.1,0.7,10427.4
58737,20230407131108,31.1,1004.0,62,343,0.7,0.9,10443.0
58744,20230407131108,14.2,1007.7,58,156,13.9,0.5,10215.7
58754,20230407131108,25.1,1017.0,28,330,12.6,1.0,10244.8
58818,20230407131108,0.7,1020.9,48,330,11.5,0.6,10422.8
58820,20230407131108,23.0,1003.8,61,263,10.8,0.9,10445.8
58834,20230407131108,16.4,1006.9,25,342,8.6,1.4,10447.1
58837,20230407131108,4.9,1026.0,5,309,6.5,0.3,10219.1
58843,20230407131108,15.6,1012.1,55,179,8.7,0.5,10448.5
58846,20230407131108,1.1,1011.9,77,161,10.2,0.4,10415.1
58847,20230407131108,34.0,1004.7,35,10,0.8,0.7,10365.8
58911,20230407131108,27.8,1003.0,4,274,6.0,0.4,10460.0
58918,20230407131108,32.9,1021.8,48,249,12.7,0.9,10093.9
58921,20230407131108,10.3,1009.4,75,79,9.3,0.6,10291.4
58926,20230407131108,2.4,1007.6,21,337,14.5,0.6,10084.2
58927,20230407131108,32.5,1023.5,73,180,11.2,0.7,10017.6
58931,20230407131108,16.6,1021.2,23,350,13.1,0.5,10130.4
58933,20230407131108,19.0,1021.0,13,156,12.6,0.6,10499.9
58936,20230407131108,12.6,1009.8,40,166,2.6,0.3,10331.1
58944,20230407131108,34.8,1009.6,64,77,8.3,0.7,10214.9
59113,20230407131108,31.0,1008.7,57,188,10.0,0.6,10168.7
59126,20230407131108,16.0,1018.4,91,53,7.1,1.4,10067.7
