站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230407130607,3.7,1004.7,2,315,3.7,0.5,10411.2
58102,20230407130607,34.9,1012.1,23,179,14.2,0.3,10133.8
58118,20230407130607,0.8,1019.9,48,156,6.7,0.7,10365.2
58122,20230407130607,21.5,1018.0,87,4,11.9,1.0,10218.2
58203,20230407130607,24.0,1022.5,19,141,1.9,0.0,10447.3
58215,20230407130607,20.2,1025.4,34,92,11.2,0.7,10293.3
58221,20230407130607,22.7,1010.5,65,100,2.1,1.2,10476.6
58225,20230407130607,34.3,1006.2,53,296,13.7,0.2,10185.4
58236,20230407130607,20.6,1024.2,1,267,13.9,0.7,10460.8
58311,20230407130607,7.9,1012.1,77,110,4.0,0.9,10180.1
58314,20230407130607,23.2,1021.7,79,9,12.2,0.2,10128.7
58319,20230407130607,13.8,1018.9,43,194,12.1,0.6,10049.0
58321,20230407130607,3.8,1020.0,63,289,3.7,1.0,10073.0
58326,20230407130607,4.6,1006.8,37,350,7.6,1.2,10314.8
58336,20230407130607,12.1,1021.1,75,344,14.3,0.8,10268.4
58338,20230407130607,22.4,1019.0,28,272,9.9,1.4,10361.4
58414,20230407130607,25.8,1019.4,81,134,4.9,1.0,10238.5
58419,20230407130607,21.1,1000.7,93,300,4.2,0.0,10358.1
58424,20230407130607,18.8,1007.5,23,228,2.1,1.2,10470.4
58429,20230407130607,15.9,1020.4,50,165,14.4,1.3,10204.9
58436,20230407130607,22.3,1022.4,1,148,11.5,1.2,10012.7
58437,20230407130607,9.6,1006.5,11,296,8.2,1.4,10016.1
58520,20230407130607,14.8,1019.4,39,273,12.9,0.4,10241.9
58531,20230407130607,5.5,1012.1,50,320,0.5,1.5,10329.3
54406,20230407130607,5.1,1001.8,8,167,7.7,1.1,10412.3
54416,20230407130607,8.7,1006.7,23,19,6.2,0.8,10002.8
54511,20230407130607,28.9,1015.1,44,141,2.0,0.5,10244.3
58725,20230407130607,30.4,1016.3,53,134,5.0,0.5,10364.5
58730,20230407130607,18.8,1020.2,33,69,3.0,1.5,10214.5
58731,20230407130607,34.2,1000.8,76,14,13.8,0.5,10108.9
58734,20230407130607,10.2,1023.1,34,59,11.7,1.2,10326.7
58737,20230407130607,23.7,1018.0,91,152,0.5,1.0,10201.4
58744,20230407130607,30.4,1005.1,74,133,10.0,1.0,10094.0
58754,20230407130607,23.4,1021.4,83,252,5.0,0.5,10358.7
58818,20230407130607,23.9,1025.2,13,350,3.8,0.1,10329.6
58820,20230407130607,24.6,1002.8,14,76,8.5,0.0,10363.6
58834,20230407130607,23.8,1009.5,87,288,14.8,0.0,10473.8
58837,20230407130607,15.9,1014.5,36,132,7.1,1.3,10400.3
58843,20230407130607,30.1,1004.7,24,61,3.4,0.7,10004.0
58846,20230407130607,3.6,1002.4,94,138,5.9,1.5,10076.6
58847,20230407130607,34.4,1012.0,15,40,6.5,0.5,10027.1
58911,20230407130607,5.5,1000.3,3,43,13.5,0.5,10131.9
58918,20230407130607,9.8,1021.4,24,290,13.6,0.2,10394.8
58921,20230407130607,9.8,1000.7,96,114,7.1,0.1,10348.1
58926,20230407130607,0.0,1024.5,100,252,6.7,0.6,10334.9
58927,20230407130607,5.4,1010.2,13,188,3.2,0.2,10264.9
58931,20230407130607,25.7,1009.4,11,65,6.5,1.4,10492.1
58933,20230407130607,33.9,1021.9,100,93,12.2,1.4,10289.2
58936,20230407130607,8.6,1001.0,93,210,3.5,0.0,10440.7
58944,20230407130607,34.2,1004.0,35,287,7.7,0.7,10059.5
59113,20230407130607,34.3,1020.8,100,328,6.9,0.9,10415.5
59126,20230407130607,29.0,1026.0,10,357,3.2,0.0,10035.4
59133,20230407130607,17.0,1004.4,31,301,9.0,1.4,10062.4
59134,20230407130607,7.5,1018.1,47,220,12.8,0.9,10290.2
59321,20230407130607,33.4,1025.9,55,126,4.7,0.9,10368.2
52323,20230407130607,34.6,1008.0,1,175,11.2,0.5,10233.9
52418,20230407130607,0.0,1003.9,56,260,12.5,0.9,10303.5
52424,20230407130607,31.7,1006.7,91,303,12.8,0.0,10324.5
52436,20230407130607,18.5,1020.8,95,184,5.7,0.4,10421.2
52446,20230407130607,9.6,1025.4,30,206,7.1,0.5,10434.7
52447,20230407130607,0.0,1016.0,27,350,1.1,0.2,10205.4
52533,20230407130607,26.6,1015.1,37,284,8.3,0.6,10438.2
52546,20230407130607,11.4,1019.2,23,333,9.0,1.2,10297.5
52652,20230407130607,22.9,1018.2,73,125,12.3,1.0,10025.9
52661,20230407130607,11.1,1022.3,13,219,12.6,1.1,10317.0
52674,20230407130607,24.0,1022.0,45,108,4.6,0.0,10075.3
52679,20230407130607,22.3,1017.1,81,326,7.8,0.3,10373.7
52681,20230407130607,10.8,1014.3,9,256,14.2,1.3,10463.9
52787,20230407130607,24.2,1026.2,5,263,7.0,0.1,10318.6
52797,20230407130607,25.4,1008.0,5,18,8.5,0.0,10167.4
52884,20230407130607,27.9,1004.1,100,5,14.4,1.2,10302.5
52895,20230407130607,3.0,1009.7,83,300,6.2,1.5,10314.7
52983,20230407130607,25.6,1019.4,83,102,6.1,0.3,10117.6
52984,20230407130607,26.4,1001.8,82,42,7.0,1.3,10389.2
52986,20230407130607,1.1,1024.1,91,90,1.9,0.2,10146.7
52996,20230407130607,15.7,1005.9,20,77,1.1,1.0,10459.6
53821,20230407130607,8.5,1013.0,39,330,1.9,0.1,10006.4
53915,20230407130607,17.4,1022.4,92,337,2.2,0.0,10241.7
53923,20230407130607,7.4,1017.4,24,209,14.7,1.0,10124.1
56074,20230407130607,9.2,1001.6,48,321,3.0,1.5,10002.3
56080,20230407130607,9.0,1004.6,1,218,1.6,1.4,10135.9
56093,20230407130607,27.3,1025.3,3,31,7.7,1.3,10100.2
56096,20230407130607,9.7,1011.2,93,115,12.6,1.1,10158.8
57014,20230407130607,34.6,1009.3,89,312,3.9,0.3,10301.1
57996,20230407130607,3.7,1011.1,97,26,2.7,0.0,10458.9
59072,20230407130607,8.9,1005.2,35,324,10.2,0.8,10022.4
59082,20230407130607,23.2,1022.8,49,165,0.0,0.0,10002.6
59087,20230407130607,4.3,1013.4,78,2,14.3,0.5,10309.1
59088,20230407130607,12.6,1024.3,26,198,10.9,0.5,10218.0
59096,20230407130607,10.2,1012.7,10,36,0.9,0.7,10046.6
59097,20230407130607,20.8,1019.8,81,357,1.6,0.0,10225.4
59107,20230407130607,19.1,1015.2,65,307,13.2,0.9,10346.8
59116,20230407130607,9.9,1023.1,49,223,1.4,1.3,10182.5
59117,20230407130607,4.9,1012.4,47,34,2.1,0.3,10229.7
59271,20230407130607,26.5,1017.1,25,185,13.6,0.4,10252.9
59278,20230407130607,33.3,1004.0,79,101,10.7,1.4,10382.0
59280,20230407130607,24.9,1009.2,71,310,4.8,0.6,10151.5
59287,20230407130607,1.2,1003.8,56,170,4.7,0.9,10351.6
59289,20230407130607,25.8,1026.4,8,262,6.2,0.3,10176.8
59293,20230407130607,22.9,1022.3,95,193,12.5,0.0,10148.4
59294,20230407130607,30.2,1015.1,48,28,10.6,1.3,10046.4
59298,20230407130607,12.2,1024.7,33,171,9.0,1.2,10418.1
59303,20230407130607,32.7,1008.6,18,279,0.2,0.5,10361.6
59304,20230407130607,24.8,1003.8,13,37,4.8,0.3,10161.1
59306,20230407130607,1.7,1019.1,2,120,5.0,0.5,10296.5
59310,20230407130607,4.5,1002.5,87,212,6.4,0.7,10467.9
59316,20230407130607,12.2,1021.4,97,125,0.0,0.6,10338.3
59317,20230407130607,20.5,1016.8,18,21,5.1,0.6,10049.0
59324,20230407130607,9.8,1006.4,62,25,7.2,0.6,10268.3
59456,20230407130607,31.4,1008.3,26,150,8.6,1.2,10178.5
59462,20230407130607,0.7,1017.6,79,139,14.2,0.7,10272.4
59478,20230407130607,31.1,1001.3,62,129,8.6,0.6,10340.9
59485,20230407130607,33.9,1000.7,10,311,10.3,0.2,10329.0
59488,20230407130607,10.7,1025.0,7,320,10.0,0.8,10164.4
59493,20230407130607,1.8,1025.4,27,359,7.7,1.2,10334.9
59501,20230407130607,16.3,1019.0,55,195,13.0,0.7,10236.5
59658,20230407130607,32.1,1011.5,37,308,6.2,0.5,10398.0
59663,20230407130607,18.8,1011.0,73,266,10.7,0.7,10248.2
59664,20230407130607,21.9,1008.3,30,184,5.9,1.1,10361.6
59673,20230407130607,25.1,1000.4,86,279,5.1,0.3,10487.2
59754,20230407130607,22.7,1015.1,92,188,1.1,1.1,10275.6
57947,20230407130607,22.4,1010.2,61,43,9.7,0.0,10027.0
57957,20230407130607,7.3,1013.3,89,103,12.8,0.1,10377.1
57958,20230407130607,9.4,1004.5,95,75,14.1,1.5,10453.7
59021,20230407130607,9.0,1011.8,62,164,8.4,0.4,10121.5
59023,20230407130607,3.0,1025.2,86,2,6.1,0.5,10185.0
59027,20230407130607,15.9,1019.5,8,196,4.5,1.1,10287.9
59037,20230407130607,12.9,1008.8,40,293,4.0,0.1,10081.7
59046,20230407130607,26.5,1010.5,28,335,4.0,0.8,10469.4
59058,20230407130607,3.2,1026.0,78,233,7.9,0.6,10271.3
59065,20230407130607,28.1,1019.5,14,80,14.2,0.5,10389.1
59209,20230407130607,33.8,1012.8,96,323,3.3,1.0,10449.7
59211,20230407130607,23.0,1025.0,71,358,8.7,1.3,10075.1
59218,20230407130607,31.3,1000.3,87,3,13.5,1.5,10230.7
59228,20230407130607,29.5,1016.2,24,54,8.7,0.1,10079.4
59242,20230407130607,10.4,1009.7,71,11,3.2,0.1,10484.4
59254,20230407130607,29.8,1024.7,16,355,7.4,0.9,10427.5
59265,20230407130607,1.4,1007.0,89,190,7.5,1.0,10493.4
59417,20230407130607,8.1,1014.4,74,304,6.6,0.4,10184.9
59431,20230407130607,9.5,1021.7,85,307,5.1,0.6,10126.6
59446,20230407130607,26.5,1011.3,46,246,2.7,0.4,10309.7
59453,20230407130607,5.0,1000.3,56,224,8.5,1.1,10180.7
59626,20230407130607,10.3,1009.6,52,130,6.2,0.4,10092.1
59631,20230407130607,28.0,1025.0,77,357,6.4,0.4,10179.3
59632,20230407130607,20.9,1002.8,88,4,4.1,0.4,10425.5
59644,20230407130607,26.7,1015.4,64,72,14.4,0.7,10428.2
59647,20230407130607,5.2,1010.6,96,261,14.0,0.7,10141.7
56691,20230407130607,24.1,1009.5,10,195,0.0,0.1,10493.3
56693,20230407130607,35.0,1022.2,2,53,11.5,0.8,10146.4
56792,20230407130607,11.5,1002.2,100,38,1.8,1.4,10305.1
56793,20230407130607,7.9,1005.3,92,174,5.2,1.5,10415.6
57606,20230407130607,20.4,1003.3,100,326,6.5,0.5,10155.1
57614,20230407130607,30.3,1022.9,7,273,14.2,1.1,10429.5
57625,20230407130607,34.7,1012.2,56,316,6.9,1.0,10067.9
57647,20230407130607,31.0,1003.8,50,63,0.2,0.0,10352.6
57707,20230407130607,9.9,1021.6,38,238,12.1,1.3,10051.9
57710,20230407130607,1.3,1020.3,27,125,9.4,0.1,10187.4
57712,20230407130607,0.8,1012.2,57,336,4.2,1.1,10058.7
57718,20230407130607,32.7,1018.9,12,131,13.7,0.8,10460.5
57722,20230407130607,29.2,1013.7,9,65,3.6,0.1,10382.5
57729,20230407130607,13.1,1019.9,89,36,8.2,1.0,10123.0
57731,20230407130607,20.7,1004.1,44,285,9.6,0.3,10267.1
57741,20230407130607,24.9,1025.9,79,151,3.3,0.9,10092.9
57803,20230407130607,8.1,1011.6,14,92,0.5,0.5,10290.6
57805,20230407130607,21.2,1021.4,54,191,10.3,0.9,10144.6
57806,20230407130607,19.0,1015.5,54,287,11.3,1.2,10286.1
57816,20230407130607,2.3,1001.5,99,279,11.4,0.4,10285.0
57825,20230407130607,2.2,1002.2,59,11,1.8,1.5,10063.7
57827,20230407130607,5.3,1020.0,94,185,11.4,0.3,10058.7
57832,20230407130607,14.9,1020.2,68,87,10.4,0.0,10125.3
57839,20230407130607,7.7,1023.6,60,359,12.1,1.3,10124.0
57840,20230407130607,6.5,1001.5,35,285,10.2,0.0,10045.0
57902,20230407130607,13.2,1013.7,45,203,11.4,1.3,10467.3
57906,20230407130607,24.9,1024.8,81,138,3.3,0.0,10361.9
57907,20230407130607,23.3,1002.2,85,317,4.5,0.3,10067.8
57910,20230407130607,10.3,1003.4,73,214,3.9,1.0,10272.9
57912,20230407130607,20.1,1009.7,53,43,12.1,0.4,10345.7
57916,20230407130607,31.1,1023.0,72,126,7.6,1.5,10157.0
57922,20230407130607,4.0,1010.1,27,28,7.6,1.0,10059.6
57926,20230407130607,29.2,1006.5,48,160,0.9,1.1,10414.6
57932,20230407130607,26.2,1008.7,90,301,13.1,0.5,10080.0
59758,20230407130607,2.5,1009.4,15,262,2.5,0.1,10373.2
59838,20230407130607,20.1,1000.2,78,52,4.0,1.5,10391.8
59845,20230407130607,15.5,1007.0,71,230,2.2,0.1,10211.0
59849,20230407130607,16.4,1005.5,81,273,1.9,0.5,10391.1
59855,20230407130607,7.9,1012.8,83,49,0.2,1.3,10300.5
